model_name,year,top_k,weight_method,n_selected,gross_return,net_return,transaction_cost,avg_selected_return_percent,min_selected_return_percent,max_selected_return_percent,sum_weight
external_random_forest,2016,5,equal,5,0.17871053160255684,0.17491253160255685,0.003798,17.871053160255684,-4.62962962962963,31.32530120481928,1.0
external_random_forest,2017,5,equal,5,-0.058164361976964535,-0.06196236197696454,0.003798,-5.816436197696455,-26.513761467889918,43.75,1.0
external_random_forest,2018,5,equal,5,0.610182452703427,0.606384452703427,0.003798,61.018245270342696,19.675925925925927,157.9787234042553,1.0
external_random_forest,2019,5,equal,5,0.3302040731892533,0.3264060731892533,0.003798,33.02040731892533,-3.4068136272545004,61.04651162790697,1.0
external_random_forest,2020,5,equal,5,0.511905645935608,0.508107645935608,0.003798,51.1905645935608,-1.170351105331607,135.01805054151626,1.0
external_random_forest,2021,5,equal,5,0.009455793583732358,0.005657793583732358,0.003798,0.9455793583732358,-32.25806451612903,29.37853107344633,1.0
external_random_forest,2022,5,equal,5,0.28108972874627636,0.27729172874627633,0.003798,28.108972874627636,5.419766206163665,73.34710743801655,1.0
external_random_forest,2023,5,equal,5,-0.03296181015250621,-0.03675981015250621,0.003798,-3.296181015250622,-33.42465753424658,29.562982005141382,1.0
external_random_forest,2024,5,equal,5,0.16774189928288172,0.16394389928288172,0.003798,16.774189928288173,-24.156118143459903,85.95744680851064,1.0
external_random_forest,2016,5,score,5,0.1790958139083011,0.1752978139083011,0.003798,17.871053160255684,-4.62962962962963,31.32530120481928,1.0
external_random_forest,2017,5,score,5,-0.05954114610685965,-0.06333914610685965,0.003798,-5.816436197696455,-26.513761467889918,43.75,1.0
external_random_forest,2018,5,score,5,0.6357198283546491,0.6319218283546492,0.003798,61.018245270342696,19.675925925925927,157.9787234042553,0.9999999999999999
external_random_forest,2019,5,score,5,0.3335922854180637,0.32979428541806366,0.003798,33.02040731892533,-3.4068136272545004,61.04651162790697,1.0
external_random_forest,2020,5,score,5,0.514245320171576,0.510447320171576,0.003798,51.1905645935608,-1.170351105331607,135.01805054151626,1.0
external_random_forest,2021,5,score,5,-0.004751358121093067,-0.008549358121093066,0.003798,0.9455793583732358,-32.25806451612903,29.37853107344633,1.0
external_random_forest,2022,5,score,5,0.2764843837187546,0.2726863837187546,0.003798,28.108972874627636,5.419766206163665,73.34710743801655,1.0
external_random_forest,2023,5,score,5,-0.02839008528203377,-0.03218808528203377,0.003798,-3.296181015250622,-33.42465753424658,29.562982005141382,0.9999999999999999
external_random_forest,2024,5,score,5,0.16632337709501904,0.16252537709501905,0.003798,16.774189928288173,-24.156118143459903,85.95744680851064,1.0
external_random_forest,2016,10,equal,10,0.3624880258011907,0.3586900258011907,0.003798,36.248802580119076,-4.62962962962963,133.33333333333331,1.0
external_random_forest,2017,10,equal,10,-0.08757558004644916,-0.09137358004644916,0.003798,-8.757558004644917,-26.513761467889918,43.75,1.0
external_random_forest,2018,10,equal,10,0.3630817679405681,0.3592837679405681,0.003798,36.30817679405681,-8.933333333333334,157.9787234042553,1.0
external_random_forest,2019,10,equal,10,0.43231398592546666,0.42851598592546664,0.003798,43.23139859254667,-16.50485436893204,208.61244019138755,1.0
external_random_forest,2020,10,equal,10,0.43780313468601556,0.43400513468601554,0.003798,43.78031346860156,-22.155172413793107,135.01805054151626,1.0
external_random_forest,2021,10,equal,10,0.039027052358927304,0.0352290523589273,0.003798,3.902705235892731,-38.44559585492228,124.10147991543342,1.0
external_random_forest,2022,10,equal,10,0.5933453445815594,0.5895473445815594,0.003798,59.33453445815595,-2.4271844660194173,237.45454545454544,1.0
external_random_forest,2023,10,equal,10,0.09505040195921854,0.09125240195921855,0.003798,9.505040195921854,-33.42465753424658,128.39506172839506,1.0
external_random_forest,2024,10,equal,10,0.07066158971744274,0.06686358971744275,0.003798,7.066158971744275,-27.674417717512263,85.95744680851064,1.0
external_random_forest,2016,10,score,10,0.35180080897649213,0.3480028089764921,0.003798,36.248802580119076,-4.62962962962963,133.33333333333331,0.9999999999999999
external_random_forest,2017,10,score,10,-0.08596417688819416,-0.08976217688819416,0.003798,-8.757558004644917,-26.513761467889918,43.75,1.0
external_random_forest,2018,10,score,10,0.38736999913559667,0.38357199913559664,0.003798,36.30817679405681,-8.933333333333334,157.9787234042553,0.9999999999999999
external_random_forest,2019,10,score,10,0.4287325636829115,0.4249345636829115,0.003798,43.23139859254667,-16.50485436893204,208.61244019138755,0.9999999999999999
external_random_forest,2020,10,score,10,0.44266305173298853,0.4388650517329885,0.003798,43.78031346860156,-22.155172413793107,135.01805054151626,1.0
external_random_forest,2021,10,score,10,0.02800096217632382,0.02420296217632382,0.003798,3.902705235892731,-38.44559585492228,124.10147991543342,1.0000000000000002
external_random_forest,2022,10,score,10,0.5849372775208629,0.5811392775208629,0.003798,59.33453445815595,-2.4271844660194173,237.45454545454544,0.9999999999999998
external_random_forest,2023,10,score,10,0.09190509170711655,0.08810709170711656,0.003798,9.505040195921854,-33.42465753424658,128.39506172839506,1.0
external_random_forest,2024,10,score,10,0.07283942337819993,0.06904142337819993,0.003798,7.066158971744275,-27.674417717512263,85.95744680851064,0.9999999999999999
external_random_forest,2016,20,equal,20,0.663998784435551,0.6602007844355511,0.003798,66.3998784435551,-4.62962962962963,248.30729166666663,1.0000000000000002
external_random_forest,2017,20,equal,20,-0.036794331752379186,-0.04059233175237919,0.003798,-3.679433175237917,-29.64426877470356,49.67105263157895,1.0000000000000002
external_random_forest,2018,20,equal,20,0.2795062193841512,0.2757082193841512,0.003798,27.95062193841512,-38.84297520661157,157.9787234042553,1.0000000000000002
external_random_forest,2019,20,equal,20,0.35513817702923733,0.3513401770292373,0.003798,35.51381770292373,-25.91362126245847,208.61244019138755,1.0000000000000002
external_random_forest,2020,20,equal,20,0.6806192367728464,0.6768212367728464,0.003798,68.06192367728465,-40.20926756352765,412.34567901234567,1.0000000000000002
external_random_forest,2021,20,equal,20,-0.07918569772194936,-0.08298369772194936,0.003798,-7.918569772194937,-55.84415584415584,124.10147991543342,1.0000000000000002
external_random_forest,2022,20,equal,20,0.5696819978242414,0.5658839978242415,0.003798,56.96819978242413,-11.904761904761903,237.45454545454544,1.0000000000000002
external_random_forest,2023,20,equal,20,0.14161329733995917,0.13781529733995918,0.003798,14.161329733995917,-33.42465753424658,128.39506172839506,1.0000000000000002
external_random_forest,2024,20,equal,20,0.04931099012258207,0.045512990122582066,0.003798,4.931099012258206,-27.674417717512263,97.6401179941003,1.0000000000000002
external_random_forest,2016,20,score,20,0.6434653046007477,0.6396673046007477,0.003798,66.3998784435551,-4.62962962962963,248.30729166666663,0.9999999999999999
external_random_forest,2017,20,score,20,-0.03970622645821286,-0.043504226458212863,0.003798,-3.679433175237917,-29.64426877470356,49.67105263157895,1.0
external_random_forest,2018,20,score,20,0.30212816562766764,0.2983301656276676,0.003798,27.95062193841512,-38.84297520661157,157.9787234042553,1.0
external_random_forest,2019,20,score,20,0.35713528665608635,0.3533372866560863,0.003798,35.51381770292373,-25.91362126245847,208.61244019138755,0.9999999999999997
external_random_forest,2020,20,score,20,0.6703897547060574,0.6665917547060575,0.003798,68.06192367728465,-40.20926756352765,412.34567901234567,0.9999999999999999
external_random_forest,2021,20,score,20,-0.07947204015700202,-0.08327004015700201,0.003798,-7.918569772194937,-55.84415584415584,124.10147991543342,1.0000000000000002
external_random_forest,2022,20,score,20,0.5650285675338406,0.5612305675338406,0.003798,56.96819978242413,-11.904761904761903,237.45454545454544,1.0
external_random_forest,2023,20,score,20,0.13698824386102654,0.13319024386102654,0.003798,14.161329733995917,-33.42465753424658,128.39506172839506,0.9999999999999999
external_random_forest,2024,20,score,20,0.050902004527698254,0.04710400452769825,0.003798,4.931099012258206,-27.674417717512263,97.6401179941003,1.0000000000000002
external_random_forest,2016,30,equal,30,0.5658857863582776,0.5620877863582776,0.003798,56.58857863582775,-22.0703125,248.30729166666663,1.0
