date,stock_id,open,max,min,close,adj_close,Trading_Volume
2015-01-05,9914,214.0,214.0,208.0,211.0,156.57049560546875,531000
2015-01-06,9914,209.0,211.0,207.5,211.0,156.57049560546875,597000
2015-01-07,9914,211.0,211.5,209.0,209.5,155.4574432373047,564000
2015-01-08,9914,210.5,216.0,210.0,214.0,158.79660034179688,797000
2015-01-09,9914,215.0,216.5,215.0,216.0,160.28070068359375,413000
2015-01-12,9914,216.0,217.5,215.0,217.0,161.02273559570312,369000
2015-01-13,9914,219.0,224.0,219.0,220.5,163.619873046875,1183000
2015-01-14,9914,221.5,223.0,218.0,220.0,163.24888610839844,568000
2015-01-15,9914,221.0,225.0,220.5,224.0,166.21701049804688,802000
2015-01-16,9914,223.0,224.0,214.0,214.5,159.1676483154297,1164000
2015-01-19,9914,217.0,218.0,214.5,215.5,159.90969848632812,480000
2015-01-20,9914,216.5,217.5,216.5,217.0,161.02273559570312,177000
2015-01-21,9914,218.0,219.0,217.5,218.5,162.1357879638672,321000
2015-01-22,9914,219.5,222.0,218.0,221.5,164.36190795898438,429000
2015-01-23,9914,223.0,223.0,219.5,221.0,163.9908905029297,492000
2015-01-26,9914,221.0,221.0,217.5,218.0,161.7647705078125,519000
2015-01-27,9914,218.0,218.0,215.0,216.0,160.28070068359375,1221000
2015-01-28,9914,216.0,220.0,216.0,219.5,162.87783813476562,571000
2015-01-29,9914,219.0,220.0,217.0,218.0,161.7647705078125,327000
2015-01-30,9914,218.0,219.0,217.0,218.0,161.7647705078125,265000
2015-02-02,9914,219.5,220.5,217.5,220.5,163.619873046875,497000
2015-02-03,9914,221.5,221.5,218.5,220.0,163.24888610839844,417000
2015-02-04,9914,221.5,223.0,220.5,221.0,163.9908905029297,845000
2015-02-05,9914,221.0,225.0,219.0,222.5,165.10394287109375,871000
2015-02-06,9914,222.0,235.0,222.0,226.0,167.70111083984375,1799000
2015-02-09,9914,226.0,230.0,224.0,226.0,167.70111083984375,747000
2015-02-10,9914,227.5,228.5,224.5,225.0,166.95907592773438,483000
2015-02-11,9914,228.0,234.0,226.0,232.5,172.52435302734375,1559000
2015-02-12,9914,232.5,243.0,229.0,243.0,180.31578063964844,2586000
2015-02-13,9914,243.0,248.0,238.5,242.5,179.9447479248047,1590000
2015-02-24,9914,248.0,257.5,245.0,256.5,190.3333282470703,2379000
2015-02-25,9914,256.5,258.0,249.0,251.5,186.6231231689453,1243000
2015-02-26,9914,255.0,255.5,248.0,253.5,188.10720825195312,1554000
2015-03-02,9914,257.0,257.0,249.0,254.5,188.84927368164062,968000
2015-03-03,9914,255.0,256.0,250.0,254.5,188.84927368164062,908000
