date,stock_id,open,max,min,close,adj_close,Trading_Volume
2015-01-05,9921,277.33709716796875,277.33709716796875,269.8951110839844,272.8719177246094,202.0721893310547,621811
2015-01-06,9921,269.8951110839844,271.3835144042969,265.92608642578125,266.9183349609375,197.663330078125,691350
2015-01-07,9921,264.9338073730469,264.9338073730469,262.94927978515625,262.94927978515625,194.72410583496094,425291
2015-01-08,9921,264.9338073730469,275.3525695800781,263.4454345703125,267.91058349609375,198.39816284179688,343659
2015-01-09,9921,269.8951110839844,271.879638671875,266.4222106933594,267.91058349609375,198.39816284179688,232801
2015-01-12,9921,267.4144592285156,273.8641662597656,264.43768310546875,271.879638671875,201.33740234375,386994
2015-01-13,9921,271.879638671875,276.8409423828125,270.3912658691406,275.84869384765625,204.2766571044922,446454
2015-01-14,9921,277.8332214355469,277.8332214355469,268.40673828125,271.879638671875,201.33740234375,502891
2015-01-15,9921,269.8951110839844,271.879638671875,265.92608642578125,266.9183349609375,197.663330078125,366838
2015-01-16,9921,266.9183349609375,266.9183349609375,261.4609069824219,265.429931640625,196.5611114501953,462579
2015-01-19,9921,266.9183349609375,269.8951110839844,264.43768310546875,266.4222106933594,197.2959442138672,335597
2015-01-20,9921,266.4222106933594,274.8564147949219,266.4222106933594,272.3757629394531,201.70477294921875,390018
2015-01-21,9921,272.8719177246094,275.3525695800781,271.879638671875,273.3680419921875,202.43959045410156,388002
2015-01-22,9921,271.879638671875,275.84869384765625,269.8951110839844,273.3680419921875,202.43959045410156,308386
2015-01-23,9921,273.3680419921875,274.8564147949219,272.3757629394531,274.8564147949219,203.5418243408203,200551
2015-01-26,9921,274.8564147949219,275.84869384765625,273.3680419921875,275.84869384765625,204.2766571044922,93725
2015-01-27,9921,275.84869384765625,277.8332214355469,272.8719177246094,277.8332214355469,205.74623107910156,222723
2015-01-28,9921,274.36029052734375,277.8332214355469,274.36029052734375,276.8409423828125,205.01141357421875,168302
2015-01-29,9921,276.8409423828125,277.8332214355469,271.879638671875,273.8641662597656,202.80702209472656,318464
2015-01-30,9921,273.8641662597656,273.8641662597656,269.8951110839844,272.8719177246094,202.0721893310547,393041
2015-02-02,9921,271.879638671875,274.8564147949219,268.40673828125,273.8641662597656,202.80702209472656,399088
2015-02-03,9921,272.8719177246094,276.3448181152344,272.8719177246094,274.36029052734375,203.1743927001953,265051
2015-02-04,9921,274.8564147949219,278.8254699707031,274.8564147949219,278.8254699707031,206.48101806640625,512969
2015-02-05,9921,279.8177490234375,279.8177490234375,273.8641662597656,277.8332214355469,205.74623107910156,294277
2015-02-06,9921,279.8177490234375,292.7171325683594,273.8641662597656,284.779052734375,210.889892578125,579484
2015-02-09,9921,284.28289794921875,286.7635803222656,281.3061218261719,284.779052734375,210.889892578125,248926
2015-02-10,9921,284.28289794921875,287.7558288574219,282.7945251464844,283.7867736816406,210.15504455566406,302339
2015-02-11,9921,281.80224609375,292.22100830078125,281.80224609375,288.251953125,213.46173095703125,396064
2015-02-12,9921,286.2674255371094,290.73260498046875,284.779052734375,288.251953125,213.46173095703125,348698
2015-02-13,9921,285.77130126953125,299.6629638671875,285.77130126953125,298.67071533203125,221.17721557617188,641967
2015-02-24,9921,300.65521240234375,319.5082092285156,300.65521240234375,316.0352783203125,234.03634643554688,902987
2015-02-25,9921,320.99658203125,320.99658203125,309.5855712890625,311.073974609375,230.36227416992188,800192
2015-02-26,9921,305.1203918457031,307.6010437011719,302.6397399902344,302.6397399902344,224.11643981933594,1024931
2015-03-02,9921,303.1358947753906,309.5855712890625,303.1358947753906,306.1126708984375,226.68826293945312,470642
2015-03-03,9921,304.624267578125,306.1126708984375,299.1668395996094,300.1590881347656,222.27940368652344,445447
2015-03-04,9921,300.1590881347656,306.1126708984375,300.1590881347656,306.1126708984375,226.68826293945312,281175
2015-03-05,9921,304.1281433105469,304.1281433105469,299.6629638671875,301.1513671875,223.0142059326172,473665
2015-03-06,9921,299.1668395996094,303.63201904296875,296.1900634765625,298.67071533203125,221.17721557617188,673209
2015-03-09,9921,299.6629638671875,299.6629638671875,293.7093811035156,295.69390869140625,218.9727325439453,303347
2015-03-10,9921,295.69390869140625,296.1900634765625,290.2364807128906,291.2287292480469,215.6661376953125,609718
2015-03-11,9921,291.2287292480469,292.7171325683594,287.25970458984375,287.7558288574219,213.09432983398438,544211
2015-03-12,9921,286.7635803222656,292.7171325683594,285.77130126953125,292.7171325683594,216.76837158203125,580492
2015-03-13,9921,291.7248840332031,292.7171325683594,288.251953125,288.251953125,213.46173095703125,379940
2015-03-16,9921,289.7403564453125,292.22100830078125,287.7558288574219,287.7558288574219,213.09432983398438,304355
2015-03-17,9921,288.7480773925781,293.7093811035156,279.32159423828125,280.80999755859375,207.95065307617188,772981
2015-03-18,9921,283.7867736816406,295.1977844238281,281.3061218261719,295.1977844238281,218.60536193847656,953377
2015-03-19,9921,295.69390869140625,299.1668395996094,294.2055358886719,297.6784362792969,220.44235229492188,681272
2015-03-20,9921,297.6784362792969,305.6165466308594,297.6784362792969,303.63201904296875,224.85125732421875,624835
2015-03-23,9921,305.6165466308594,305.6165466308594,295.69390869140625,305.1203918457031,225.95347595214844,318464
2015-03-24,9921,304.624267578125,305.1203918457031,301.1513671875,305.1203918457031,225.95347595214844,383971
2015-03-25,9921,302.6397399902344,304.624267578125,296.1900634765625,301.6474914550781,223.381591796875,405135
2015-03-26,9921,296.6861877441406,300.65521240234375,289.7403564453125,297.6784362792969,220.44235229492188,609718
2015-03-27,9921,298.174560546875,298.67071533203125,293.2132568359375,295.69390869140625,218.9727325439453,322495
2015-03-30,9921,295.69390869140625,301.6474914550781,294.70166015625,298.174560546875,220.809814453125,410174
2015-03-31,9921,298.174560546875,301.6474914550781,296.1900634765625,299.6629638671875,221.91197204589844,362807
2015-04-01,9921,298.67071533203125,299.1668395996094,294.70166015625,296.6861877441406,219.70761108398438,264043
2015-04-02,9921,296.6861877441406,305.1203918457031,296.1900634765625,302.14361572265625,223.74903869628906,429322
2015-04-07,9921,297.6784362792969,303.1358947753906,297.6784362792969,298.67071533203125,221.17721557617188,171325
2015-04-08,9921,297.6784362792969,300.1590881347656,293.7093811035156,296.6861877441406,219.70761108398438,409166
2015-04-09,9921,296.6861877441406,302.14361572265625,295.1977844238281,295.1977844238281,218.60536193847656,392033
2015-04-10,9921,297.6784362792969,299.6629638671875,296.1900634765625,298.67071533203125,221.17721557617188,200551
2015-04-13,9921,297.6784362792969,297.6784362792969,290.73260498046875,295.69390869140625,218.9727325439453,505915
2015-04-14,9921,291.7248840332031,295.69390869140625,291.7248840332031,294.70166015625,218.23797607421875,205590
