證券代碼,簡稱,年月,year,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,淨值報酬率─稅後,資產報酬率 ROA,營業利益率 OPM,利潤邊際 NPM,負債/淨值比,流動比率,速動比率,存貨週轉率 (次),應收帳款週轉次,營業利益成長率,稅後淨利成長率,Return,ReturnMean_year_Label
1802,台玻,201512,2015,28341087.04,11.3,0.0,0.68,2.587466010226581,-0.5028474608780954,-0.22964868908348304,-6.377639965449433,-2.0133894860698964,1.1574126591804382e-07,,,,,,,20.353982300884947,1
2002,中鋼,201512,2015,287070947.8,18.2,17.43,0.94,4.557128671397787,-0.10565273671652836,-0.04585460984595524,1.041092585890289,-0.49363254215044367,1.790902871876012e-08,,,,,,,36.81318681318681,1
2049,上銀,201512,2015,42007446.0,156.0,15.02,2.56,13.285020063149586,-0.4372331688680018,-0.18209302696780486,-3.0407183265359823,-1.8869290983979843,4.084702393815875e-07,,,,,,,-16.346153846153847,-1
2059,川湖,201512,2015,0.428896,416.0,19.4,5.33,3.8025358158949073e-07,745749627.7631428,7.045572762667556,3.0023379296954307,57.72691527154827,10584655824.075134,,,,,,,-12.139423076923077,-1
2105,正新,201512,2015,178926135.6,55.2,12.45,1.96,6.51041037211221,-0.03364918955665628,-0.018078043762122253,-0.4335503723181546,-0.10916534430764878,5.1367671545058923e-08,,,,,,,8.333333333333323,-1
2106,建大,201512,2015,0.10584,50.4,11.33,1.95,1.4603557699299447e-08,0.0,0.0,1.3174384885152208,0.0,2.1617279621218044e-07,,,,,,,-7.7380952380952355,-1
2204,中華車,201512,2015,29341876.96,21.2,10.09,0.61,3.496246358309679,0.07815758932912616,0.061740181966981895,6.230451048890221,0.46113182960666527,1.6358565208421753e-09,,,,,,,25.943396226415093,1
2207,和泰車,201512,2015,0.124787,377.0,21.35,5.55,3.0000360378406463e-09,1085144775.493076,0.15653855724031296,2.6583473027046627,0.6216828027159982,693212454888.7958,,,,,,,-2.7851458885941645,-1
2301,光寶科,201512,2015,80438279.935,34.45,11.93,0.98,1.3929824968803124,-0.122664595967672,-0.044459471753210675,0.9344871552716708,-0.16141728990429932,8.157812172421697e-08,,,,,,,45.13788098693758,1
2303,聯電,201512,2015,155649221.38,12.2,10.08,0.68,4.598288423109172,-0.0501762998386642,-0.03373034828174117,2.678500895525951,-0.3361804360268675,1.4189317006970552e-08,,,,,,,-6.967213114754096,-1
2308,台達電,201512,2015,405216754.8,156.0,20.41,3.97,7.286990531709821,0.26212230427859695,0.1440727660938722,2.2093486316642434,0.5862475969166083,3.437318945254943e-08,,,,,,,1.282051282051282,-1
2313,華通,201512,2015,26160462.17,21.95,9.84,1.31,1.903989958086032,9.785509434703195,3.947345687791188,-2.0499190272704624,14.799228315440438,2.8710903531075386e-07,,,,,,,-29.15717539863325,-1
2317,鴻海,201512,2015,1344892776.6,86.0,8.58,1.33,0.9406729575230748,-0.2318052633927659,-0.10118871569822468,1.1211920146401197,-0.16337112901198025,5.3650654199861044e-09,,,,,,,-4.186046511627901,-1
2324,仁寶,201512,2015,81821616.78,18.3,7.52,0.8,0.34921976631035245,0.13804567818536104,0.04368613213531759,-0.009568142294468947,0.06114340836921369,6.415754271022449e-08,,,,,,,-0.5464480874317017,-1
2327,國巨,201512,2015,33752605.46,51.8,9.43,1.38,5.164699967101488,0.024904973610177013,0.013193013621024175,2.423396197544088,0.09598714662790253,1.8576497931136338e-07,,,,,,,14.671814671814676,1
2330,台積電,201512,2015,3695079221.25,142.5,11.82,3.22,18.15598128633603,0.0005168327875485508,0.00038093093799438705,1.3168130515937262,0.0031024197040935278,2.1478765196822895e-09,,,,,,,28.421052631578945,1
2344,華邦電,201512,2015,27566001.54,7.7,8.05,0.74,2.8012996521596154,0.022906294388014427,0.014235332068634332,-0.15873285250760813,0.09055495830315598,9.23860644490224e-08,,,,,,,29.35064935064936,1
2345,智邦,201512,2015,14874232.43,27.7,17.95,2.18,2.0895618268278464,-0.0033529845968293,-0.001828185645179725,-0.3108445075052505,-0.0038492066279404635,5.55934635890347e-07,,,,,,,62.454873646209386,1
2347,聯強,201512,2015,50197260.44,31.6,12.28,1.2,0.5328163915664403,0.28542467657872095,0.0906716006151252,-0.27291665673773174,0.12972345882647324,1.5752609713481865e-07,,,,,,,3.0063291139240373,-1
2356,英業達,201512,2015,68700148.16499999,19.15,11.97,1.38,0.6242528975608019,-0.22606481675582513,-0.072651813615628,-0.1031159975055017,-0.11602083088353973,1.1368484358835184e-07,,,,,,,12.793733681462157,-1
2357,華碩,201512,2015,205744603.1,277.0,11.84,1.21,1.550180801406406,0.06730845227912179,0.033765094312636135,0.19889548585455122,0.08487001029482673,2.9405097003387575e-08,,,,,,,-5.054151624548736,-1
2360,致茂,201512,2015,22029771.19,58.1,18.47,2.6,8.601824398354118,-0.17794702375234112,-0.10426240528045343,0.4391544432027701,-0.6538313462639268,4.3198247330741505e-07,,,,,,,34.76764199655765,1
2368,金像電,201512,2015,5553093.807,9.83,9.67,0.75,1.1921258353112312,9.48350769462292,3.0788304004163813,-2.948964222660356,14.664875109056311,9.375068980266543e-07,,,,,,,14.445574771108848,1
2376,技嘉,201512,2015,22426092.385,35.65,10.95,1.02,1.8349296963648154,0.010062572518848246,0.0068229747610401995,4.522797512504733,0.0185570472105027,1.426418458910807e-07,,,,,,,16.54978962131837,1
2377,微星,201512,2015,35695174.45,42.25,12.42,1.6,1.4820039206586435,0.0,0.0,0.05620751092274523,0.0,1.7356837267258427e-07,,,,,,,94.55621301775149,1
2379,瑞昱,201512,2015,35750552.04,70.8,17.57,1.84,3.8690127319396734,2.2441393851129896e-05,1.065020616243081e-05,1.0425502579698809,5.411123061275774e-05,2.3572440101226845e-07,,,,,,,41.949152542372886,1
2382,廣達,201512,2015,203174201.24,52.6,11.18,1.59,0.7383918645458039,-0.1232869920923253,-0.0307866698855085,0.2109870146752067,-0.0594764401498178,5.5483440475636154e-08,,,,,,,12.167300380228134,-1
2383,台光電,201512,2015,20733083.03,65.3,7.83,1.96,4.125528554242136,0.003388213438439571,0.0018522880472812335,1.1273375016266851,0.006526638434975777,9.296927117669553e-10,,,,,,,27.10566615620215,1
2395,研華,201512,2015,140271388.2,222.0,26.74,6.03,14.385014976593688,0.03640458923502782,0.02497120806466722,0.460886108973486,0.08701478871968378,1.329185827343738e-07,,,,,,,15.315315315315313,1
2404,漢唐,201512,2015,10172566.18,42.7,8.59,1.68,2.9512208734744627,14702536.146006163,0.04218864889338623,0.28071592424615616,0.17995875135375225,136.71486134155012,,,,,,,12.295081967213115,-1
2408,南亞科,201512,2015,101271193.86,41.7,4.65,2.12,9.780058366762061,0.010917523390510695,0.00574582031233437,0.2397230442190174,0.057711997431932005,6.522014475254882e-09,,,,,,,8.51318944844124,-1
2409,友達,201512,2015,85752023.841,8.91,4.89,0.49,1.0276830897773905,-0.3001216219633482,-0.12834486000721249,-8.220551621136906,-0.6545581570950363,2.852429413197078e-08,,,,,,,28.507295173961833,1
2412,中華電,201512,2015,774968905.35,99.9,18.56,2.14,12.4544903557878,0.08063813474520176,0.06563601678837505,0.5199050347987602,0.47786180958695457,4.729620709802818e-09,,,,,,,6.606606606606601,-1
2449,京元電子,201512,2015,23362117.44,20.1,10.67,1.14,5.441933574828307,0.000277376712426517,0.00015334337023401387,-0.7293300389636013,0.0014442178989378244,1.9997966202363403e-07,,,,,,,30.099502487562173,1
2454,聯發科,201512,2015,410183345.7,261.0,12.25,1.66,6.646636593222887,-0.09059978382027371,-0.062014865005305515,1.615760550882385,-0.35296823344233647,1.2332188343369349e-08,,,,,,,-13.984674329501914,-1
2603,長榮,201512,2015,45309392.4,12.9,0.0,0.74,1.4771773816495595,-1.1368863737925283,-0.3422779371533491,-2.5276927200325314,-2.149796271653401,1.1754960216494024e-07,,,,,,,-8.139534883720936,-1
2609,陽明,201512,2015,24396053.611999996,8.12,0.0,0.83,0.8155977413648827,-0.05636510022484826,-0.011288837367253161,-0.8164986007227232,-0.058488486343381406,1.6991685543632451e-07,,,,,,,-30.04926108374384,-1
2610,華航,201512,2015,59632702.09,10.9,9.45,1.13,1.694981410764921,-0.06616280900861742,-0.01737198269719342,-2.837207212192876,-0.10958185029180185,1.2478141371661277e-07,,,,,,,-12.752293577981655,-1
2615,萬海,201512,2015,37267398.0,16.8,6.84,1.13,2.4963023744326494,-0.038558055227739634,-0.017175014305759757,-2.574572778959665,-0.0922899262109285,1.545624466706387e-07,,,,,,,-2.0833333333333415,-1
2618,長榮航,201512,2015,63672592.5,16.5,13.68,1.43,1.814388426251818,-0.12026284551237777,-0.030070164775434685,-1.61187614343919,-0.16743726830053382,1.4734291339941243e-07,,,,,,,-7.575757575757576,-1
2633,台灣高鐵,201512,2015,22253013.21,3.97,,,0.6962133129622309,,3.2719001296270305,10.56388645794734,51.85878488463697,,,,,,,,379.84886649874056,1
2801,彰銀,201512,2015,137854368.16,16.3,12.08,1.04,,1.7263415391388541,0.11725490021606574,,,7.199075459834669e-08,,,,,,,3.6809815950920117,-1
2834,臺企銀,201512,2015,46898459.85,8.25,8.99,0.7,,0.0,0.0,,,1.4103048828784065e-07,,,,,,,-1.9393939393939412,-1
2880,華南金,201512,2015,155033660.73,15.65,10.82,1.01,16.32899603639122,,5.105756004921972e-07,,0.00012639058609210629,,,,,,,,3.1948881789137267,-1
