stock_id,stock_name,market,industry,source,inclusion_reason,first_available_year,last_available_year,n_years,n_rows
2801,彰銀,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
2834,臺企銀,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
2880,華南金,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
2881,富邦金,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
2882,國泰金,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
2883,凱基金,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
2884,玉山金,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
2885,元大金,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
2886,兆豐金,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
2887,台新金,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
2890,永豐金,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
2891,中信金,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
2892,第一金,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
2912,統一超,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
3008,大立光,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
3017,奇鋐,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
3034,聯詠,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
3036,文曄,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
3037,欣興,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
3044,健鼎,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
3045,台灣大,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
3189,景碩,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
3231,緯創,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
3324,雙鴻,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
3443,創意,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
3481,群創,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
3533,嘉澤,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
3653,健策,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
3661,世芯-KY,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
3665,貿聯-KY,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
3702,大聯大,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
3706,神達,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
3711,日月光投控,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2018,2024,7,7
4904,遠傳,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
4938,和碩,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
4958,臻鼎-KY,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
5269,祥碩,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
5274,信驊,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
5483,中美晶,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
5871,中租-KY,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
5876,上海商銀,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
5880,合庫金,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
6139,亞翔,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
6239,力成,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
6415,矽力*-KY,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
6446,藥華藥,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
6488,環球晶,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
6505,台塑化,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
6515,穎崴,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2019,2024,6,6
6669,緯穎,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2017,2024,8,8
6770,力積電,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2020,2024,5,5
6789,采鈺,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2021,2024,4,4
6805,富世達,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2020,2024,5,5
7769,鴻勁,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2024,2024,1,1
8046,南電,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
8210,勤誠,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
9904,寶成,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
9910,豐泰,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
9914,美利達,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
9921,巨大,,,data/external/tickers.csv,Selected as external universe constituent with available public data.,2015,2024,10,10
