證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,淨值報酬率─稅後,資產報酬率 ROA,營業利益率 OPM,利潤邊際 NPM,負債/淨值比,流動比率,速動比率,存貨週轉率 (次),應收帳款週轉次,營業利益成長率,稅後淨利成長率,Return,ReturnMean_year_Label,year
1437,勤益,199712,7427,46.7,0.686775433365315,3.0724,8.2074,0.039565,0.051607,0.036536,0.13794,0.30437,502.08,246.19,1.23,5.41,129.85,124.15,-51.7345,-1,1997
1440,南紡,199712,24395,12.91,0.489764395788231,0.9228,1.2923,0.031858,0.051985,0.063595,0.072788,0.63178,138.61,77.86,4.13,7.43,65.62,101.34,-26.0263,-1,1997
1442,名軒,199712,10335,215.82,0.181847028302853,11.0507,17.7047,0.12581,0.20575,0.1888,0.32954,0.63541,208.74,53.8,0.69,5.41,539.97,1422.64,-41.6273,-1,1997
1444,力麗,199712,10954,15.83,0.817303220653433,0.88485,1.353,0.087277,0.12707,0.092135,0.18904,0.45593,101.14,55.76,9.11,10.64,34.1,54.8,-38.5344,-1,1997
1447,力鵬,199712,8515,15.61,0.0964545251683886,0.85534,1.2399,0.084787,0.12025,0.12155,0.17435,0.41826,229.07,154.12,4.57,7.8,62.82,124.81,-28.5714,-1,1997
1449,佳和,199712,8348,50.05,0.956134540229802,3.9286,4.2851,0.076472,0.10272,0.10698,0.11053,0.34329,100.62,27.86,3.47,22.69,121.23,129.62,6.2537,1,1997
1458,嘉畜,199712,9887,17.5,0.853031117721894,1.5597,2.907,0.0031829,0.0059821,0.051923,0.011163,0.87945,62.36,39.88,6.7,5.6,1795.93,477.78,-42.2857,-1,1997
1459,聯發,199712,7399,12.79,0.368484596490337,0.77048,1.4306,0.056516,0.064128,0.060991,0.11913,0.13469,357.05,334.94,26.6,8.1,18.3,71.73,-31.7435,-1,1997
1460,宏遠,199712,11688,17.5,0.825816977489547,1.2272,0.80757,0.10119,0.14767,0.096337,0.09715,0.4593,169.55,68.69,4.1,7.47,89.46,122.0,7.4286,1,1997
1462,東雲,199712,34500,80.36,0.694828622975817,6.7473,7.574,0.016503,0.043946,0.063086,0.049567,1.6628,107.72,12.37,0.58,5.63,76.28,10.15,-60.0299,-1,1997
1503,士電,199712,19893,29.09,0.890903252535799,1.4197,1.1787,0.046337,0.080608,0.0806,0.066921,0.7396,143.68,87.02,4.89,4.36,11.3,-6.73,-12.1348,1,1997
1504,東元,199712,49648,17.64,0.655477890177557,0.73013,0.77573,0.061478,0.097489,0.065282,0.1036,0.58577,208.73,134.45,3.88,4.52,14.0,25.75,-25.7937,-1,1997
1510,台安,199712,9565,37.76,0.0759666916908419,1.8015,1.0556,0.066146,0.10455,0.07069,0.062965,0.58064,206.9,112.61,3.04,4.47,25.37,41.05,-43.4057,-1,1997
1513,中興電,199712,11439,11.22,0.996134716626886,0.91071,0.37263,0.018823,0.068143,0.030332,0.027891,2.6202,132.98,40.87,3.34,7.91,-15.88,42.87,-43.1373,-1,1997
1517,利奇,199712,8030,27.91,0.821194040197959,1.7303,1.6574,0.13873,0.18079,0.13437,0.17318,0.30314,337.56,294.51,7.78,3.26,27.53,99.52,17.6281,1,1997
1520,D 復盛,199712,13119,12.99,0.528533135506213,0.57478,0.31544,0.10183,0.2563,0.1235,0.15939,1.517,107.56,48.05,2.61,7.75,93.99,124.17,-8.699,1,1997
1602,太電,199712,63145,22.82,0.915735525189067,1.3722,3.5,0.046403,0.10564,0.011054,0.27219,1.2767,96.28,66.73,5.64,9.67,-89.85,419.62,-31.376,-1,1997
1603,華電,199712,9804,28.64,0.350952380892271,1.6937,2.6084,0.11064,0.2071,0.080154,0.31876,0.87182,130.19,69.83,1.63,2.23,125.62,360.14,-57.4022,-1,1997
1604,聲寶,199712,18324,21.21,0.243524968724989,1.5983,0.99531,0.027867,0.047292,-0.0052308,0.033185,0.69704,226.7,121.23,3.58,4.36,-130.61,-13.39,30.363,1,1997
1606,歌林,199712,9508,18.32,0.183907788282417,1.2387,1.4169,0.011517,0.023184,-0.045257,0.026512,1.0131,157.9,92.29,2.85,3.16,48.65,480.43,-38.8646,-1,1997
1608,華榮,199712,11051,10.7,0.774910464711502,0.71238,0.76978,0.069446,0.090028,0.089284,0.097285,0.29637,418.47,283.49,6.61,8.48,-13.1,-6.14,-18.5047,1,1997
1609,大亞,199712,8388,9.28,0.942050590775485,0.72956,0.78246,0.043406,0.059561,0.0658,0.063891,0.37217,292.69,139.18,2.21,6.45,21.9,78.95,-34.5905,-1,1997
1612,宏泰,199712,7273,12.82,0.92938597096873,0.82977,1.2049,0.097073,0.10752,0.16702,0.15612,0.10762,465.29,189.33,4.02,10.43,6.57,16.95,-21.3729,-1,1997
1614,三洋,199712,7190,12.69,0.435858588580919,0.77378,0.55903,0.038998,0.060257,0.03165,0.043542,0.54514,266.78,140.2,2.13,3.96,-49.7,-38.68,-29.3932,-1,1997
1701,中化,199712,14142,37.68,0.568823660872193,2.3863,3.7642,-0.0025571,-0.0042851,0.0027543,-0.0068365,0.67578,137.38,82.38,2.17,2.33,-61.3,71.95,-69.3471,-1,1997
1704,榮化,199712,9527,9.77,0.239916153553658,0.67659,0.51448,0.065565,0.099684,0.06703,0.075778,0.52039,342.88,275.63,10.3,12.62,2.48,2.39,-12.0778,1,1997
1710,東聯,199712,14529,10.99,0.530797553008973,0.85792,1.3068,0.093214,0.11394,0.16297,0.17351,0.2224,127.44,77.46,10.64,7.13,40.46,44.93,-29.7543,-1,1997
1711,永光,199712,10270,21.78,0.145538980384717,1.5783,1.2865,0.081323,0.13116,0.14547,0.10692,0.61288,134.92,56.58,2.44,4.68,46.8,35.01,-23.2323,-1,1997
1716,永信,199712,9474,22.52,0.41726706908437,0.99778,1.203,0.085398,0.11345,0.14646,0.14378,0.32847,211.78,139.13,1.3,3.21,-14.55,-7.48,41.3854,1,1997
1717,長興,199712,17647,11.88,0.349983765984809,0.53012,0.31731,0.070652,0.14055,0.10103,0.084113,0.98937,119.86,76.86,5.76,4.62,23.43,34.65,-18.1818,1,1997
1718,中纖,199712,15879,12.5,0.285839018820374,0.86926,1.8302,0.02911,0.059332,0.045349,0.12502,1.0382,146.86,95.21,5.41,8.84,204.63,4.9,-54.32,-1,1997
1802,台玻,199712,40500,14.74,0.0318328463774207,0.6904,1.2685,0.096103,0.12535,0.16389,0.24361,0.30434,454.78,362.14,3.86,6.73,-35.08,-8.95,-13.5007,1,1997
1810,和成,199712,13699,30.56,0.794284540683907,1.7987,2.3364,0.02009,0.035474,0.06465,0.046065,0.76571,155.83,77.58,1.34,2.71,-51.37,-51.74,-48.3639,-1,1997
