date,stock_id,type,value,origin_name
2015-03-31,1802,IncomeBeforeIncomeTax,-1350190000.0,稅前淨利(淨損)
2015-03-31,1802,NetIncome,-1336830000.0,本期淨利(淨損)
2015-03-31,1802,OTHNOE,2043000.0,其他收益及費損淨額
2015-03-31,1802,OtherComprehensiveIncome,-610944000.0,其他綜合損益（淨額）
2015-03-31,1802,TAX,-13353000.0,所得稅費用（利益）
2015-03-31,1802,IncomeAfterTaxes,-1336833000.0,本期淨利（淨損）
2015-03-31,1802,TotalConsolidatedProfitForThePeriod,-1947777000.0,本期綜合損益總額
2015-03-31,1802,EquityAttributableToOwnersOfParent,-1204188000.0,淨利（淨損）歸屬於母公司業主
2015-03-31,1802,NoncontrollingInterests,-132645000.0,淨利（淨損）歸屬於非控制權益
2015-03-31,1802,OperatingIncome,-1093277000.0,營業利益（損失）
2015-03-31,1802,TotalNonoperatingIncomeAndExpense,-256909000.0,營業外收入及支出
2015-03-31,1802,CostOfGoodsSold,8811008000.0,營業成本
2015-03-31,1802,Revenue,8960652000.0,營業收入
2015-03-31,1802,GrossProfit,149644000.0,營業毛利（毛損）
2015-03-31,1802,OperatingExpenses,1244964000.0,營業費用
2015-03-31,1802,PreTaxIncome,-1350186000.0,稅前淨利（淨損）
2015-03-31,1802,ComprehensiveIncomeConsolidatedNetIncomeAttributedNonControllingInterest,-204840000.0,綜合損益總額歸屬於非控制權益
2015-03-31,1802,IncomeFromContinuingOperations,-1336833000.0,繼續營業單位本期淨利（淨損）
2015-03-31,1802,EPS,-0.51,基本每股盈餘
2015-06-30,1802,IncomeBeforeIncomeTax,-742492000.0,稅前淨利(淨損)
2015-06-30,1802,NetIncome,-811422000.0,本期淨利(淨損)
2015-06-30,1802,OTHNOE,-2683000.0,其他收益及費損淨額
2015-06-30,1802,OtherComprehensiveIncome,-410369000.0,其他綜合損益（淨額）
2015-06-30,1802,TAX,68930000.0,所得稅費用（利益）
2015-06-30,1802,IncomeAfterTaxes,-811422000.0,本期淨利（淨損）
2015-06-30,1802,TotalConsolidatedProfitForThePeriod,-1221791000.0,本期綜合損益總額
2015-06-30,1802,EquityAttributableToOwnersOfParent,-720513000.0,淨利（淨損）歸屬於母公司業主
2015-06-30,1802,NoncontrollingInterests,-90909000.0,淨利（淨損）歸屬於非控制權益
2015-06-30,1802,OperatingIncome,-776036000.0,營業利益（損失）
2015-06-30,1802,TotalNonoperatingIncomeAndExpense,33544000.0,營業外收入及支出
2015-06-30,1802,CostOfGoodsSold,9643370000.0,營業成本
2015-06-30,1802,Revenue,10085646000.0,營業收入
2015-06-30,1802,GrossProfit,442276000.0,營業毛利（毛損）
2015-06-30,1802,OperatingExpenses,1215629000.0,營業費用
2015-06-30,1802,PreTaxIncome,-742492000.0,稅前淨利（淨損）
2015-06-30,1802,ComprehensiveIncomeConsolidatedNetIncomeAttributedNonControllingInterest,-106094000.0,綜合損益總額歸屬於非控制權益
2015-06-30,1802,IncomeFromContinuingOperations,-811422000.0,繼續營業單位本期淨利（淨損）
2015-06-30,1802,EPS,-0.3,基本每股盈餘
2015-09-30,1802,IncomeBeforeIncomeTax,-1592190000.0,稅前淨利(淨損)
2015-09-30,1802,NetIncome,-1619150000.0,本期淨利(淨損)
2015-09-30,1802,OTHNOE,-8439000.0,其他收益及費損淨額
2015-09-30,1802,OtherComprehensiveIncome,797980000.0,其他綜合損益（淨額）
2015-09-30,1802,TAX,26959000.0,所得稅費用（利益）
2015-09-30,1802,IncomeAfterTaxes,-1619153000.0,本期淨利（淨損）
2015-09-30,1802,TotalConsolidatedProfitForThePeriod,-821173000.0,本期綜合損益總額
