date,stock_id,type,value,origin_name
2015-03-31,2324,IncomeBeforeIncomeTax,2574640000.0,稅前淨利(淨損)
2015-03-31,2324,NetIncome,2021760000.0,本期淨利(淨損)
2015-03-31,2324,OtherComprehensiveIncome,-249917000.0,其他綜合損益（淨額）
2015-03-31,2324,TAX,552876000.0,所得稅費用（利益）
2015-03-31,2324,IncomeAfterTaxes,2021761000.0,本期淨利（淨損）
2015-03-31,2324,TotalConsolidatedProfitForThePeriod,1771844000.0,本期綜合損益總額
2015-03-31,2324,EquityAttributableToOwnersOfParent,2016150000.0,淨利（淨損）歸屬於母公司業主
2015-03-31,2324,NoncontrollingInterests,5611000.0,淨利（淨損）歸屬於非控制權益
2015-03-31,2324,OperatingIncome,3221663000.0,營業利益（損失）
2015-03-31,2324,TotalNonoperatingIncomeAndExpense,-647026000.0,營業外收入及支出
2015-03-31,2324,CostOfGoodsSold,189552995000.0,營業成本
2015-03-31,2324,Revenue,198112443000.0,營業收入
2015-03-31,2324,GrossProfit,8559448000.0,營業毛利（毛損）
2015-03-31,2324,OperatingExpenses,5337785000.0,營業費用
2015-03-31,2324,PreTaxIncome,2574637000.0,稅前淨利（淨損）
2015-03-31,2324,ComprehensiveIncomeConsolidatedNetIncomeAttributedNonControllingInterest,-11022000.0,綜合損益總額歸屬於非控制權益
2015-03-31,2324,IncomeFromContinuingOperations,2021761000.0,繼續營業單位本期淨利（淨損）
2015-03-31,2324,EPS,0.47,基本每股盈餘
2015-06-30,2324,IncomeBeforeIncomeTax,2375850000.0,稅前淨利(淨損)
2015-06-30,2324,NetIncome,1493310000.0,本期淨利(淨損)
2015-06-30,2324,OtherComprehensiveIncome,-1361056000.0,其他綜合損益（淨額）
2015-06-30,2324,TAX,882545000.0,所得稅費用（利益）
2015-06-30,2324,IncomeAfterTaxes,1493308000.0,本期淨利（淨損）
2015-06-30,2324,TotalConsolidatedProfitForThePeriod,132252000.0,本期綜合損益總額
2015-06-30,2324,EquityAttributableToOwnersOfParent,1506101000.0,淨利（淨損）歸屬於母公司業主
2015-06-30,2324,NoncontrollingInterests,-12793000.0,淨利（淨損）歸屬於非控制權益
2015-06-30,2324,OperatingIncome,2420761000.0,營業利益（損失）
2015-06-30,2324,TotalNonoperatingIncomeAndExpense,-44908000.0,營業外收入及支出
2015-06-30,2324,CostOfGoodsSold,191464754000.0,營業成本
2015-06-30,2324,Revenue,199032656000.0,營業收入
2015-06-30,2324,GrossProfit,7567902000.0,營業毛利（毛損）
2015-06-30,2324,OperatingExpenses,5147141000.0,營業費用
2015-06-30,2324,PreTaxIncome,2375853000.0,稅前淨利（淨損）
2015-06-30,2324,ComprehensiveIncomeConsolidatedNetIncomeAttributedNonControllingInterest,-21854000.0,綜合損益總額歸屬於非控制權益
2015-06-30,2324,IncomeFromContinuingOperations,1493308000.0,繼續營業單位本期淨利（淨損）
2015-06-30,2324,EPS,0.35,基本每股盈餘
2015-09-30,2324,IncomeBeforeIncomeTax,3779740000.0,稅前淨利(淨損)
2015-09-30,2324,NetIncome,3079550000.0,本期淨利(淨損)
2015-09-30,2324,OtherComprehensiveIncome,1800346000.0,其他綜合損益（淨額）
2015-09-30,2324,TAX,700194000.0,所得稅費用（利益）
2015-09-30,2324,IncomeAfterTaxes,3079549000.0,本期淨利（淨損）
2015-09-30,2324,TotalConsolidatedProfitForThePeriod,4879895000.0,本期綜合損益總額
2015-09-30,2324,EquityAttributableToOwnersOfParent,2889017000.0,淨利（淨損）歸屬於母公司業主
2015-09-30,2324,NoncontrollingInterests,190532000.0,淨利（淨損）歸屬於非控制權益
2015-09-30,2324,OperatingIncome,2585750000.0,營業利益（損失）
2015-09-30,2324,TotalNonoperatingIncomeAndExpense,1193993000.0,營業外收入及支出
2015-09-30,2324,CostOfGoodsSold,207665147000.0,營業成本
2015-09-30,2324,Revenue,215862244000.0,營業收入
2015-09-30,2324,GrossProfit,8197097000.0,營業毛利（毛損）
2015-09-30,2324,OperatingExpenses,5611347000.0,營業費用
2015-09-30,2324,PreTaxIncome,3779743000.0,稅前淨利（淨損）
2015-09-30,2324,ComprehensiveIncomeConsolidatedNetIncomeAttributedNonControllingInterest,241869000.0,綜合損益總額歸屬於非控制權益
2015-09-30,2324,IncomeFromContinuingOperations,3079549000.0,繼續營業單位本期淨利（淨損）
2015-09-30,2324,EPS,0.67,基本每股盈餘
2015-12-31,2324,IncomeBeforeIncomeTax,3061860000.0,稅前淨利(淨損)
2015-12-31,2324,NetIncome,2412530000.0,本期淨利(淨損)
2015-12-31,2324,OtherComprehensiveIncome,-291343000.0,其他綜合損益（淨額）
2015-12-31,2324,TAX,649331000.0,所得稅費用（利益）
2015-12-31,2324,IncomeAfterTaxes,2412529000.0,本期淨利（淨損）
2015-12-31,2324,TotalConsolidatedProfitForThePeriod,2121186000.0,本期綜合損益總額
