split_id,model_name,train_years,test_years,year,top_k,rank,證券代碼,簡稱,score_label_1,actual_label,predicted_label,actual_return,weight_method,weight,actual_return_decimal,return_contribution,portfolio_gross_return,portfolio_net_return,transaction_cost
1,external_random_forest,2015,2016,2016,5,1,3037,欣興,0.8025354756354757,-1,1,24.590163934426236,equal,0.2,0.24590163934426237,0.04918032786885248,0.17871053160255684,0.17491253160255685,0.003798
1,external_random_forest,2015,2016,2016,5,2,3706,神達,0.799660678210678,-1,1,9.3603744149766,equal,0.2,0.09360374414976601,0.018720748829953202,0.17871053160255684,0.17491253160255685,0.003798
1,external_random_forest,2015,2016,2016,5,3,6139,亞翔,0.7660793206793207,-1,1,28.70905587668593,equal,0.2,0.2870905587668593,0.05741811175337186,0.17871053160255684,0.17491253160255685,0.003798
1,external_random_forest,2015,2016,2016,5,4,1304,台聚,0.7427800144300141,-1,1,-4.62962962962963,equal,0.2,-0.0462962962962963,-0.00925925925925926,0.17871053160255684,0.17491253160255685,0.003798
1,external_random_forest,2015,2016,2016,5,5,2383,台光電,0.7411813683048978,1,1,31.32530120481928,equal,0.2,0.3132530120481928,0.06265060240963856,0.17871053160255684,0.17491253160255685,0.003798
1,external_random_forest,2015,2016,2016,5,1,3037,欣興,0.8025354756354757,-1,1,24.590163934426236,score,0.20832973292463086,0.24590163934426237,0.05122862285031908,0.17909581390830104,0.17529781390830104,0.003798
1,external_random_forest,2015,2016,2016,5,2,3706,神達,0.799660678210678,-1,1,9.3603744149766,score,0.20758346587737506,0.09360374414976601,0.019430589629707496,0.17909581390830104,0.17529781390830104,0.003798
1,external_random_forest,2015,2016,2016,5,3,6139,亞翔,0.7660793206793207,-1,1,28.70905587668593,score,0.19886610015567344,0.2870905587668593,0.05709257981347849,0.17909581390830104,0.17529781390830104,0.003798
1,external_random_forest,2015,2016,2016,5,4,1304,台聚,0.7427800144300141,-1,1,-4.62962962962963,score,0.19281784634558022,-0.0462962962962963,-0.008926752145628715,0.17909581390830104,0.17529781390830104,0.003798
1,external_random_forest,2015,2016,2016,5,5,2383,台光電,0.7411813683048978,1,1,31.32530120481928,score,0.19240285469674032,0.3132530120481928,0.06027077376042468,0.17909581390830104,0.17529781390830104,0.003798
1,external_random_forest,2015,2016,2016,10,1,3037,欣興,0.8025354756354757,-1,1,24.590163934426236,equal,0.1,0.24590163934426237,0.02459016393442624,0.3624880258011907,0.3586900258011907,0.003798
1,external_random_forest,2015,2016,2016,10,2,3706,神達,0.799660678210678,-1,1,9.3603744149766,equal,0.1,0.09360374414976601,0.009360374414976601,0.3624880258011907,0.3586900258011907,0.003798
1,external_random_forest,2015,2016,2016,10,3,6139,亞翔,0.7660793206793207,-1,1,28.70905587668593,equal,0.1,0.2870905587668593,0.02870905587668593,0.3624880258011907,0.3586900258011907,0.003798
1,external_random_forest,2015,2016,2016,10,4,1304,台聚,0.7427800144300141,-1,1,-4.62962962962963,equal,0.1,-0.0462962962962963,-0.00462962962962963,0.3624880258011907,0.3586900258011907,0.003798
1,external_random_forest,2015,2016,2016,10,5,2383,台光電,0.7411813683048978,1,1,31.32530120481928,equal,0.1,0.3132530120481928,0.03132530120481928,0.3624880258011907,0.3586900258011907,0.003798
1,external_random_forest,2015,2016,2016,10,6,2615,萬海,0.7171333333333337,-1,1,17.933130699088142,equal,0.1,0.17933130699088143,0.017933130699088144,0.3624880258011907,0.3586900258011907,0.003798
1,external_random_forest,2015,2016,2016,10,7,1503,士電,0.6998192918192917,-1,1,4.773869346733683,equal,0.1,0.04773869346733683,0.0047738693467336835,0.3624880258011907,0.3586900258011907,0.003798
