date,stock_id,type,value,origin_name
2015-03-31,1304,AccountsPayable,3121800000.0,應付帳款
2015-03-31,1304,AccountsPayable_per,5.27,應付帳款
2015-03-31,1304,AccountsReceivableDuefromRelatedPartiesNet,93583000.0,應收帳款－關係人淨額
2015-03-31,1304,AccountsReceivableDuefromRelatedPartiesNet_per,0.16,應收帳款－關係人淨額
2015-03-31,1304,BondsPayable_per,4.22,應付公司債
2015-03-31,1304,CapitalStock_per,19.3,股本合計
2015-03-31,1304,CapitalSurplus,183043000.0,資本公積合計
2015-03-31,1304,CapitalSurplus_per,0.31,資本公積合計
2015-03-31,1304,CashAndCashEquivalents_per,14.52,現金及約當現金
2015-03-31,1304,CurrentAssets_per,55.27,流動資產合計
2015-03-31,1304,CurrentAvailableForSaleFinancialAssets,284613000.0,備供出售金融資產－流動淨額
2015-03-31,1304,CurrentAvailableForSaleFinancialAssets_per,0.48,備供出售金融資產－流動淨額
2015-03-31,1304,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,9.4,透過損益按公允價值衡量之金融資產－流動
2015-03-31,1304,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss,11000.0,透過損益按公允價值衡量之金融負債－流動
2015-03-31,1304,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss_per,0.0,透過損益按公允價值衡量之金融負債－流動
2015-03-31,1304,CurrentLiabilities_per,26.09,流動負債合計
2015-03-31,1304,CurrentProvisions,19576000.0,負債準備－流動
2015-03-31,1304,CurrentProvisions_per,0.03,負債準備－流動
2015-03-31,1304,DeferredTaxAssets,805146000.0,遞延所得稅資產
2015-03-31,1304,DeferredTaxAssets_per,1.36,遞延所得稅資產
2015-03-31,1304,Equity_per,52.91,權益總計
2015-03-31,1304,EquityAttributableToOwnersOfParent_per,29.33,歸屬於母公司業主之權益合計
2015-03-31,1304,EquivalentIssueSharesOfAdvanceReceiptsForOrdinaryShare,0.0,預收股款（權益項下）之約當發行股數
2015-03-31,1304,IntangibleAssets,484911000.0,無形資產
2015-03-31,1304,IntangibleAssets_per,0.82,無形資產
2015-03-31,1304,Inventories_per,12.37,存貨
2015-03-31,1304,LegalReserve_per,4.3,法定盈餘公積
2015-03-31,1304,LongtermBorrowings,5116860000.0,長期借款
2015-03-31,1304,LongtermBorrowings_per,8.64,長期借款
2015-03-31,1304,NoncontrollingInterests_per,23.58,非控制權益
2015-03-31,1304,NoncurrentAssets_per,44.73,非流動資產合計
2015-03-31,1304,NonCurrentAvailableForSaleFinancialAssets_per,4.05,備供出售金融資產－非流動淨額
2015-03-31,1304,NoncurrentLiabilities_per,21.01,非流動負債合計
