date,stock_id,type,value,origin_name
2015-03-31,3044,AccountsPayable_per,8.23,應付帳款
2015-03-31,3044,AccountsReceivableNet_per,18.76,應收帳款淨額
2015-03-31,3044,CapitalStock_per,9.05,股本合計
2015-03-31,3044,CapitalSurplus,345580000.0,資本公積合計
2015-03-31,3044,CapitalSurplus_per,0.59,資本公積合計
2015-03-31,3044,CashAndCashEquivalents_per,37.91,現金及約當現金
2015-03-31,3044,CurrentAssets_per,68.6,流動資產合計
2015-03-31,3044,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss,74773000.0,透過損益按公允價值衡量之金融資產－流動
2015-03-31,3044,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,0.13,透過損益按公允價值衡量之金融資產－流動
2015-03-31,3044,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss,5708000.0,透過損益按公允價值衡量之金融負債－流動
2015-03-31,3044,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss_per,0.01,透過損益按公允價值衡量之金融負債－流動
2015-03-31,3044,CurrentProvisions,431106000.0,負債準備－流動
2015-03-31,3044,CurrentProvisions_per,0.74,負債準備－流動
2015-03-31,3044,DeferredTaxAssets_per,3.22,遞延所得稅資產
2015-03-31,3044,Equity_per,49.35,權益總計
2015-03-31,3044,EquityAttributableToOwnersOfParent_per,49.35,歸屬於母公司業主之權益合計
2015-03-31,3044,EquivalentIssueSharesOfAdvanceReceiptsForOrdinaryShare,0.0,預收股款（權益項下）之約當發行股數
2015-03-31,3044,IntangibleAssets,170995000.0,無形資產
2015-03-31,3044,IntangibleAssets_per,0.29,無形資產
2015-03-31,3044,Inventories_per,8.05,存貨
2015-03-31,3044,LegalReserve_per,5.64,法定盈餘公積
2015-03-31,3044,NoncontrollingInterests,0.0,非控制權益
2015-03-31,3044,NoncontrollingInterests_per,0.0,非控制權益
2015-03-31,3044,NoncurrentAssets_per,31.4,非流動資產合計
2015-03-31,3044,NumberOfSharesInEntityHeldByEntityAndByItsSubsidiaries,0.0,母公司暨子公司所持有之母公司庫藏股股數
2015-03-31,3044,OrdinaryShare_per,9.05,普通股股本
2015-03-31,3044,OtherCurrentAssets,26202000.0,其他流動資產
2015-03-31,3044,OtherCurrentAssets_per,0.05,其他流動資產
2015-03-31,3044,OtherEquityInterest_per,1.84,其他權益合計
2015-03-31,3044,OtherNoncurrentAssets_per,1.57,其他非流動資產
2015-03-31,3044,OtherPayables_per,11.3,其他應付款
2015-03-31,3044,OtherReceivable,395116000.0,其他應收款淨額
2015-03-31,3044,OtherReceivable_per,0.68,其他應收款淨額
2015-03-31,3044,PropertyPlantAndEquipment_per,26.32,不動產、廠房及設備
2015-03-31,3044,RetainedEarnings_per,37.87,保留盈餘合計
2015-03-31,3044,ShorttermBorrowings_per,26.24,短期借款
2015-03-31,3044,TotalAssets_per,100.0,資產總計
2015-03-31,3044,TotalLiabilitiesEquity_per,100.0,負債及權益總計
2015-03-31,3044,UnappropriatedRetainedEarningsAaccumulatedDeficit,17193800000.0,未分配盈餘
2015-03-31,3044,CashAndCashEquivalents,22031094000.0,現金及約當現金
2015-03-31,3044,BillsReceivableNet,104051000.0,應收票據淨額
2015-03-31,3044,BillsReceivableNet_per,0.18,應收票據淨額
2015-03-31,3044,Prepayments_per,2.85,預付款項
