date,stock_id,type,value,origin_name
2015-03-31,2303,AccountsPayable_per,1.99,應付帳款
2015-03-31,2303,AccountsReceivableDuefromRelatedPartiesNet,1370000.0,應收帳款－關係人淨額
2015-03-31,2303,AccountsReceivableDuefromRelatedPartiesNet_per,0.0,應收帳款－關係人淨額
2015-03-31,2303,AccountsReceivableNet_per,6.4,應收帳款淨額
2015-03-31,2303,BondsPayable_per,7.78,應付公司債
2015-03-31,2303,CapitalStock_per,39.71,股本合計
2015-03-31,2303,CapitalSurplus_per,12.34,資本公積合計
2015-03-31,2303,CapitalSurplusAdditionalPaidInCapital_per,11.59,資本公積－發行溢價
2015-03-31,2303,CapitalSurplusChangesInEquityOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,114434000.0,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數
2015-03-31,2303,CapitalSurplusChangesInEquityOfAssociatesAndJointVenturesAccountedForUsingEquityMethod_per,0.04,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數
2015-03-31,2303,CashAndCashEquivalents_per,16.7,現金及約當現金
2015-03-31,2303,CurrentAssets_per,31.47,流動資產合計
2015-03-31,2303,CurrentAvailableForSaleFinancialAssets,0.0,備供出售金融資產－流動淨額
2015-03-31,2303,CurrentAvailableForSaleFinancialAssets_per,0.0,備供出售金融資產－流動淨額
2015-03-31,2303,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss,900934000.0,透過損益按公允價值衡量之金融資產－流動
2015-03-31,2303,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,0.28,透過損益按公允價值衡量之金融資產－流動
2015-03-31,2303,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss,0.0,透過損益按公允價值衡量之金融負債－流動
2015-03-31,2303,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss_per,0.0,透過損益按公允價值衡量之金融負債－流動
2015-03-31,2303,CurrentIncomeTaxAssets,36445000.0,本期所得稅資產
2015-03-31,2303,CurrentIncomeTaxAssets_per,0.01,本期所得稅資產
2015-03-31,2303,CurrentLiabilities_per,13.84,流動負債合計
2015-03-31,2303,DeferredTaxAssets_per,0.64,遞延所得稅資產
2015-03-31,2303,Equity_per,71.41,權益總計
