date,stock_id,type,value,origin_name
2015-03-31,2301,AccountsPayable_per,26.47,應付帳款
2015-03-31,2301,AccountsPayableToRelatedParties,694753000.0,應付帳款－關係人
2015-03-31,2301,AccountsPayableToRelatedParties_per,0.35,應付帳款－關係人
2015-03-31,2301,AccountsReceivableDuefromRelatedPartiesNet,40854000.0,應收帳款－關係人淨額
2015-03-31,2301,AccountsReceivableDuefromRelatedPartiesNet_per,0.02,應收帳款－關係人淨額
2015-03-31,2301,AccountsReceivableNet_per,22.6,應收帳款淨額
2015-03-31,2301,CapitalStock_per,11.72,股本合計
2015-03-31,2301,CapitalSurplus_per,13.82,資本公積合計
2015-03-31,2301,CapitalSurplusAdditionalPaidInCapital_per,8.4,資本公積－發行溢價
2015-03-31,2301,CapitalSurplusChangesInEquityOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,244943000.0,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數
2015-03-31,2301,CapitalSurplusChangesInEquityOfAssociatesAndJointVenturesAccountedForUsingEquityMethod_per,0.12,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數
2015-03-31,2301,CapitalSurplusNetAssetsFromMerger_per,5.06,資本公積－合併溢額
2015-03-31,2301,CashAndCashEquivalents_per,29.39,現金及約當現金
2015-03-31,2301,CurrentAssets_per,69.41,流動資產合計
2015-03-31,2301,CurrentAvailableForSaleFinancialAssets,0.0,備供出售金融資產－流動淨額
2015-03-31,2301,CurrentAvailableForSaleFinancialAssets_per,0.0,備供出售金融資產－流動淨額
2015-03-31,2301,CurrentDerivativeFinancialLiabilitiesForHedging,6128000.0,避險之衍生金融負債－流動
2015-03-31,2301,CurrentDerivativeFinancialLiabilitiesForHedging_per,0.0,避險之衍生金融負債－流動
2015-03-31,2301,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss,46205000.0,透過損益按公允價值衡量之金融資產－流動
2015-03-31,2301,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,0.02,透過損益按公允價值衡量之金融資產－流動
2015-03-31,2301,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss,4348000.0,透過損益按公允價值衡量之金融負債－流動
2015-03-31,2301,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss_per,0.0,透過損益按公允價值衡量之金融負債－流動
2015-03-31,2301,CurrentLiabilities_per,50.39,流動負債合計
2015-03-31,2301,CurrentProvisions_per,0.56,負債準備－流動
2015-03-31,2301,DeferredTaxAssets,3243510000.0,遞延所得稅資產
2015-03-31,2301,DeferredTaxAssets_per,1.62,遞延所得稅資產
2015-03-31,2301,Equity_per,39.94,權益總計
2015-03-31,2301,EquityAttributableToOwnersOfParent_per,37.87,歸屬於母公司業主之權益合計
2015-03-31,2301,EquivalentIssueSharesOfAdvanceReceiptsForOrdinaryShare,0.0,預收股款（權益項下）之約當發行股數
2015-03-31,2301,IntangibleAssets_per,8.1,無形資產
2015-03-31,2301,Inventories_per,14.29,存貨
2015-03-31,2301,LegalReserve_per,4.74,法定盈餘公積
2015-03-31,2301,LongtermBorrowings_per,7.93,長期借款
2015-03-31,2301,NoncontrollingInterests_per,2.07,非控制權益
2015-03-31,2301,NoncurrentAssets_per,30.59,非流動資產合計
2015-03-31,2301,NonCurrentAvailableForSaleFinancialAssets_per,0.58,備供出售金融資產－非流動淨額
2015-03-31,2301,NoncurrentLiabilities_per,9.68,非流動負債合計
2015-03-31,2301,OrdinaryShare_per,11.72,普通股股本
2015-03-31,2301,OtherCurrentAssets,4541390000.0,其他流動資產
2015-03-31,2301,OtherCurrentAssets_per,2.27,其他流動資產
2015-03-31,2301,OtherCurrentLiabilities_per,4.15,其他流動負債
2015-03-31,2301,OtherEquityInterest_per,1.63,其他權益合計
2015-03-31,2301,OtherNoncurrentAssets_per,0.67,其他非流動資產
2015-03-31,2301,OtherNoncurrentLiabilities,242843000.0,其他非流動負債
2015-03-31,2301,OtherNoncurrentLiabilities_per,0.12,其他非流動負債
2015-03-31,2301,OtherPayables_per,9.22,其他應付款
2015-03-31,2301,OtherReceivable_per,0.56,其他應收款淨額
2015-03-31,2301,OtherReceivablesDueFromRelatedParties,2079000.0,其他應收款－關係人淨額
2015-03-31,2301,OtherReceivablesDueFromRelatedParties_per,0.0,其他應收款－關係人淨額
2015-03-31,2301,PropertyPlantAndEquipment_per,17.3,不動產、廠房及設備
2015-03-31,2301,RetainedEarnings_per,11.32,保留盈餘合計
2015-03-31,2301,ShorttermBorrowings_per,8.51,短期借款
2015-03-31,2301,TotalAssets_per,100.0,資產總計
2015-03-31,2301,TotalLiabilitiesEquity_per,100.0,負債及權益總計
2015-03-31,2301,CashAndCashEquivalents,58701055000.0,現金及約當現金
2015-03-31,2301,BillsReceivableNet,264069000.0,應收票據淨額
2015-03-31,2301,BillsReceivableNet_per,0.13,應收票據淨額
2015-03-31,2301,OtherReceivable,1109876000.0,其他應收款淨額
2015-03-31,2301,AccountsReceivableNet,45144744000.0,應收帳款淨額
2015-03-31,2301,Inventories,28554024000.0,存貨
2015-03-31,2301,CurrentAssets,138643871000.0,流動資產合計
2015-03-31,2301,PropertyPlantAndEquipment,34555511000.0,不動產、廠房及設備
