date,stock_id,type,value,origin_name
2015-12-31,6669,AccountsPayable,234657000.0,應付帳款
2015-12-31,6669,AccountsPayable_per,3.8,應付帳款
2015-12-31,6669,AccountsPayableToRelatedParties_per,70.75,應付帳款－關係人
2015-12-31,6669,AccountsReceivableDuefromRelatedPartiesNet,4256000.0,應收帳款－關係人淨額
2015-12-31,6669,AccountsReceivableDuefromRelatedPartiesNet_per,0.07,應收帳款－關係人淨額
2015-12-31,6669,AccountsReceivableNet,789685000.0,應收帳款淨額
2015-12-31,6669,AccountsReceivableNet_per,12.8,應收帳款淨額
2015-12-31,6669,CapitalStock,420245000.0,股本合計
2015-12-31,6669,CapitalStock_per,6.81,股本合計
2015-12-31,6669,CapitalSurplus,185188000.0,資本公積合計
2015-12-31,6669,CapitalSurplus_per,3.0,資本公積合計
2015-12-31,6669,CashAndCashEquivalents_per,24.42,現金及約當現金
2015-12-31,6669,CurrentAssets,6091040000.0,流動資產合計
2015-12-31,6669,CurrentAssets_per,98.7,流動資產合計
2015-12-31,6669,CurrentAvailableForSaleFinancialAssets,140248000.0,備供出售金融資產－流動淨額
2015-12-31,6669,CurrentAvailableForSaleFinancialAssets_per,2.27,備供出售金融資產－流動淨額
2015-12-31,6669,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss,1696000.0,透過損益按公允價值衡量之金融資產－流動
2015-12-31,6669,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,0.03,透過損益按公允價值衡量之金融資產－流動
2015-12-31,6669,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss,932000.0,透過損益按公允價值衡量之金融負債－流動
2015-12-31,6669,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss_per,0.02,透過損益按公允價值衡量之金融負債－流動
2015-12-31,6669,CurrentLiabilities_per,85.12,流動負債合計
2015-12-31,6669,DeferredTaxAssets,15922000.0,遞延所得稅資產
2015-12-31,6669,DeferredTaxAssets_per,0.26,遞延所得稅資產
2015-12-31,6669,Equity,915344000.0,權益總計
2015-12-31,6669,Equity_per,14.83,權益總計
2015-12-31,6669,EquityAttributableToOwnersOfParent,915344000.0,歸屬於母公司業主之權益合計
2015-12-31,6669,EquityAttributableToOwnersOfParent_per,14.83,歸屬於母公司業主之權益合計
2015-12-31,6669,EquivalentIssueSharesOfAdvanceReceiptsForOrdinaryShare,0.0,預收股款（權益項下）之約當發行股數
2015-12-31,6669,IntangibleAssets,6022000.0,無形資產
2015-12-31,6669,IntangibleAssets_per,0.1,無形資產
2015-12-31,6669,Inventories,2727430000.0,存貨
2015-12-31,6669,Inventories_per,44.2,存貨
2015-12-31,6669,NoncurrentAssets,80084000.0,非流動資產合計
2015-12-31,6669,NoncurrentAssets_per,1.3,非流動資產合計
2015-12-31,6669,NoncurrentLiabilities,2811000.0,非流動負債合計
2015-12-31,6669,NoncurrentLiabilities_per,0.05,非流動負債合計
2015-12-31,6669,NumberOfSharesInEntityHeldByEntityAndByItsSubsidiaries,0.0,母公司暨子公司所持有之母公司庫藏股股數
2015-12-31,6669,OrdinaryShare,420245000.0,普通股股本
2015-12-31,6669,OrdinaryShare_per,6.81,普通股股本
2015-12-31,6669,OtherCurrentAssets,216252000.0,其他流動資產
2015-12-31,6669,OtherCurrentAssets_per,3.5,其他流動資產
2015-12-31,6669,OtherCurrentLiabilities,138831000.0,其他流動負債
2015-12-31,6669,OtherCurrentLiabilities_per,2.25,其他流動負債
2015-12-31,6669,OtherEquityInterest,582000.0,其他權益合計
2015-12-31,6669,OtherEquityInterest_per,0.01,其他權益合計
2015-12-31,6669,OtherNoncurrentAssets,2356000.0,其他非流動資產
2015-12-31,6669,OtherNoncurrentAssets_per,0.04,其他非流動資產
2015-12-31,6669,OtherNoncurrentLiabilities,403000.0,其他非流動負債
2015-12-31,6669,OtherNoncurrentLiabilities_per,0.01,其他非流動負債
