model_name,scope,split_id,test_years,n_samples,mae,rmse,r2,pearson_corr,spearman_corr
svr_ga_regression,split,1,1998,200,48.51064328676066,72.35919044999315,-0.13174831189023317,0.11648309389495949,0.15296632415810393
svr_ga_regression,split,2,1999,200,41.13897725558211,49.56699108636574,-1.8067622078807482,0.14521020933198467,0.19257435846295393
svr_ga_regression,split,3,2000,200,60.18229771823614,97.03667995945752,-0.47600599538089194,0.1031186591497406,0.1324083598621408
svr_ga_regression,split,4,2001,200,41.760696122639686,57.08496989407632,-0.3326164729724195,0.08122481039970325,0.14753490967527239
svr_ga_regression,split,5,2002,200,47.76592964972689,60.18137545278857,-1.3308171174847963,0.12690274773202806,0.10902276645270642
svr_ga_regression,split,6,2003,200,29.407936287280563,36.66912140795093,-0.04976949806903419,0.21978546752143432,0.24780056671529677
svr_ga_regression,split,7,2004,200,37.28323540309698,58.429420605989975,-0.06528193450130115,0.13879366600308238,0.1191527022289478
svr_ga_regression,split,8,2005,200,42.203111776855955,60.07603085810151,-0.4052998946865036,0.2439948741806939,0.27118468639449456
svr_ga_regression,split,9,2006,200,32.32625037589785,45.50848335275815,-0.16895030395586597,0.20786747158652302,0.2482443870278726
svr_ga_regression,split,10,2007,200,50.315746876715224,53.39344025402076,-6.01192246174729,0.18375118962628026,0.24821720543013578
svr_ga_regression,split,11,2008,200,113.13782894483745,135.06642619869552,-2.269771978575313,0.17163965132410888,0.2068581714542864
svr_ga_regression,overall,overall,1998-2008,2200,49.45751397251178,71.04538894310481,-0.15631473812072127,0.02231359670472268,0.022924479223078727
