split_id,model_name,feature,importance,signed_coefficient,importance_type
4,logistic_regression,資產報酬率 ROA,0.15405868463065037,0.15405868463065037,abs_logistic_coefficient
4,logistic_regression,股價營收比,0.13053292290529783,-0.13053292290529783,abs_logistic_coefficient
4,logistic_regression,市值(百萬元),0.12520283856131473,0.12520283856131473,abs_logistic_coefficient
4,logistic_regression,利潤邊際 NPM,0.10631374212890424,0.10631374212890424,abs_logistic_coefficient
4,logistic_regression,負債/淨值比,0.059588855611683485,0.059588855611683485,abs_logistic_coefficient
4,logistic_regression,稅後淨利成長率,0.04746712698994452,-0.04746712698994452,abs_logistic_coefficient
4,logistic_regression,Unknown masked parameter,0.01922993444269728,0.01922993444269728,abs_logistic_coefficient
5,logistic_regression,收盤價(元)_年,0.8373625108939613,-0.8373625108939613,abs_logistic_coefficient
5,logistic_regression,股價淨值比,0.476957326736862,0.476957326736862,abs_logistic_coefficient
5,logistic_regression,淨值報酬率─稅後,0.3640415644282916,0.3640415644282916,abs_logistic_coefficient
5,logistic_regression,速動比率,0.33358718352747074,0.33358718352747074,abs_logistic_coefficient
5,logistic_regression,流動比率,0.2692926250457456,-0.2692926250457456,abs_logistic_coefficient
5,logistic_regression,資產報酬率 ROA,0.21093179324165448,0.21093179324165448,abs_logistic_coefficient
5,logistic_regression,利潤邊際 NPM,0.18696817196865992,0.18696817196865992,abs_logistic_coefficient
5,logistic_regression,應收帳款週轉次,0.14815649576978113,0.14815649576978113,abs_logistic_coefficient
5,logistic_regression,股價營收比,0.13872550304199555,-0.13872550304199555,abs_logistic_coefficient
5,logistic_regression,營業利益率 OPM,0.1369155452447562,-0.1369155452447562,abs_logistic_coefficient
5,logistic_regression,存貨週轉率 (次),0.09477609154618473,-0.09477609154618473,abs_logistic_coefficient
5,logistic_regression,營業利益成長率,0.06903682102823094,-0.06903682102823094,abs_logistic_coefficient
5,logistic_regression,負債/淨值比,0.05538170452463285,0.05538170452463285,abs_logistic_coefficient
5,logistic_regression,市值(百萬元),0.0518115723939219,0.0518115723939219,abs_logistic_coefficient
5,logistic_regression,稅後淨利成長率,0.03936813785535954,-0.03936813785535954,abs_logistic_coefficient
