date,stock_id,dividend_yield,PER,PBR
2015-01-05,5274,2.33,29.87,9.42
2015-01-06,5274,2.32,29.98,9.46
2015-01-07,5274,2.33,29.87,9.42
2015-01-08,5274,2.33,29.82,9.41
2015-01-09,5274,2.38,29.23,9.22
2015-01-12,5274,2.44,28.59,9.02
2015-01-13,5274,2.5,27.84,8.78
2015-01-14,5274,2.48,28.05,8.85
2015-01-15,5274,2.47,28.21,8.9
2015-01-16,5274,2.45,28.37,8.95
2015-01-19,5274,2.5,27.89,8.8
2015-01-20,5274,2.46,28.27,8.92
2015-01-21,5274,2.39,29.12,9.19
2015-01-22,5274,2.35,29.66,9.35
2015-01-23,5274,2.29,30.46,9.61
2015-01-26,5274,2.32,29.98,9.46
2015-01-27,5274,2.31,30.19,9.52
2015-01-28,5274,2.22,31.42,9.91
2015-01-29,5274,2.2,31.58,9.96
2015-01-30,5274,2.23,31.21,9.84
2015-02-02,5274,2.2,31.58,9.96
2015-02-03,5274,2.23,31.21,9.84
2015-02-04,5274,2.2,31.69,10.0
2015-02-05,5274,2.2,31.58,9.96
2015-02-06,5274,2.24,31.05,9.79
2015-02-09,5274,2.24,31.05,9.79
2015-02-10,5274,2.27,30.73,9.69
2015-02-11,5274,2.2,31.58,9.96
2015-02-12,5274,2.22,31.42,9.91
2015-02-13,5274,2.25,31.0,9.78
2015-02-24,5274,2.19,31.8,10.03
2015-02-25,5274,2.2,31.58,9.96
2015-02-26,5274,2.2,31.58,9.96
2015-03-02,5274,2.06,33.78,10.66
2015-03-03,5274,1.97,35.33,11.14
2015-03-04,5274,2.01,34.64,10.93
2015-03-05,5274,2.0,34.8,10.98
2015-03-06,5274,2.04,34.15,10.77
2015-03-09,5274,2.04,34.1,10.76
2015-03-10,5274,2.1,33.19,10.47
2015-03-11,5274,2.1,33.19,10.47
2015-03-12,5274,2.06,33.73,10.64
2015-03-13,5274,2.1,33.19,10.47
2015-03-16,5274,2.04,34.1,10.76
2015-03-17,5274,2.05,33.94,10.71
2015-03-18,5274,2.84,33.89,10.69
2015-03-19,5274,2.86,33.73,10.64
2015-03-20,5274,2.77,34.8,10.98
2015-03-23,5274,2.76,34.9,11.01
2015-03-24,5274,2.88,33.4,10.54
2015-03-25,5274,3.02,31.91,10.06
2015-03-26,5274,3.06,31.53,9.95
2015-03-27,5274,3.09,31.16,9.83
2015-03-30,5274,3.1,31.1,9.81
2015-03-31,5274,2.94,32.76,10.33
2015-04-01,5274,2.87,33.62,10.6
2015-04-02,5274,2.82,34.15,10.77
2015-04-07,5274,2.84,29.57,9.69
2015-04-08,5274,3.05,27.52,9.01
2015-04-09,5274,3.15,26.63,8.72
2015-04-10,5274,3.16,26.54,8.69
2015-04-13,5274,3.1,27.05,8.86
2015-04-14,5274,3.12,26.87,8.8
2015-04-15,5274,3.14,26.73,8.75
2015-04-16,5274,3.1,27.1,8.88
2015-04-17,5274,3.07,27.33,8.95
2015-04-20,5274,3.05,27.52,9.01
2015-04-21,5274,3.19,26.31,8.62
2015-04-22,5274,3.29,25.51,8.36
2015-04-23,5274,3.41,24.63,8.07
2015-04-24,5274,3.19,26.31,8.62
2015-04-27,5274,3.19,26.31,8.62
2015-04-28,5274,3.14,26.77,8.77
2015-04-29,5274,3.09,27.15,8.89
2015-04-30,5274,3.19,26.31,8.62
2015-05-04,5274,3.25,25.79,8.45
2015-05-05,5274,3.33,25.19,8.25
2015-05-06,5274,3.32,25.28,8.28
2015-05-07,5274,3.27,25.65,8.4
2015-05-08,5274,3.2,26.21,8.59
2015-05-11,5274,3.12,26.87,8.8
2015-05-12,5274,3.16,26.59,8.71
2015-05-13,5274,3.15,26.63,8.72
2015-05-14,5274,3.18,26.4,8.65
2015-05-15,5274,3.21,26.12,8.55
2015-05-18,5274,3.27,25.65,8.4
2015-05-19,5274,3.16,26.59,8.71
2015-05-20,5274,3.14,26.77,8.77
2015-05-21,5274,3.19,26.31,8.62
2015-05-22,5274,3.14,26.77,8.77
2015-05-25,5274,3.11,26.96,8.83
2015-05-26,5274,3.05,25.52,8.22
2015-05-27,5274,3.0,25.95,8.36
2015-05-28,5274,2.81,27.68,8.92
2015-05-29,5274,2.87,27.16,8.75
2015-06-01,5274,2.77,28.07,9.04
2015-06-02,5274,2.68,29.07,9.36
2015-06-03,5274,2.7,28.81,9.28
2015-06-04,5274,2.86,27.25,8.78
2015-06-05,5274,2.73,28.55,9.2
2015-06-08,5274,2.86,27.25,8.78
2015-06-09,5274,2.91,26.73,8.61
2015-06-10,5274,2.86,27.25,8.78
2015-06-11,5274,2.8,27.77,8.95
2015-06-12,5274,2.73,28.55,9.2
2015-06-15,5274,2.81,27.68,8.92
2015-06-16,5274,2.84,27.42,8.84
2015-06-17,5274,2.79,27.9,8.99
2015-06-18,5274,2.77,28.11,9.06
2015-06-22,5274,2.65,29.33,9.45
2015-06-23,5274,2.62,29.67,9.56
2015-06-24,5274,2.64,29.5,9.5
2015-06-25,5274,2.64,29.54,9.52
2015-06-26,5274,2.62,29.71,9.57
2015-06-29,5274,2.63,29.58,9.53
2015-06-30,5274,2.65,29.41,9.48
2015-07-01,5274,2.5,31.19,10.05
2015-07-02,5274,2.55,30.54,9.84
2015-07-03,5274,2.54,30.62,9.87
2015-07-06,5274,2.8,27.85,8.97
2015-07-07,5274,2.79,27.9,8.99
2015-07-08,5274,2.8,27.77,8.95
2015-07-09,5274,2.78,27.98,9.02
2015-07-13,5274,2.75,28.29,9.11
2015-07-14,5274,2.59,30.1,9.7
2015-07-15,5274,2.62,29.71,9.57
2015-07-16,5274,2.65,29.41,9.48
2015-07-17,5274,2.59,30.06,9.69
2015-07-20,5274,2.66,29.24,9.42
2015-07-21,5274,2.71,28.72,9.25
2015-07-22,5274,2.84,27.42,8.84
2015-07-23,5274,3.15,24.7,7.96
2015-07-24,5274,3.14,24.78,7.98
2015-07-27,5274,3.21,24.22,7.8
2015-07-28,5274,2.99,26.04,8.39
2015-07-29,5274,3.05,25.52,8.22
2015-07-30,5274,3.1,25.09,8.08
2015-07-31,5274,3.03,25.74,8.29
2015-08-03,5274,3.04,25.61,8.25
2015-08-04,5274,3.7,21.02,6.77
2015-08-05,5274,3.68,21.15,6.81
2015-08-06,5274,3.72,20.93,6.74
2015-08-07,5274,3.7,21.02,6.77
2015-08-10,5274,3.57,21.8,7.02
2015-08-11,5274,3.33,23.36,7.53
2015-08-12,5274,3.2,24.31,7.83
2015-08-13,5274,3.21,24.22,7.8
2015-08-14,5274,3.2,24.35,7.85
2015-08-17,5274,3.21,24.26,7.82
2015-08-18,5274,3.1,25.09,8.08
2015-08-19,5274,3.12,24.96,8.04
2015-08-20,5274,3.17,25.22,8.74
2015-08-21,5274,3.28,24.33,8.44
2015-08-24,5274,3.64,21.94,7.6
2015-08-25,5274,3.42,23.36,8.1
2015-08-26,5274,3.36,23.8,8.25
2015-08-27,5274,3.27,24.42,8.47
2015-08-28,5274,3.27,24.42,8.47
2015-08-31,5274,3.12,25.58,8.87
