date,stock_id,dividend_yield,PER,PBR
2015-01-05,2303,3.28,22.76,0.9
2015-01-06,2303,3.39,22.01,0.87
2015-01-07,2303,3.38,22.09,0.87
2015-01-08,2303,3.36,22.24,0.88
2015-01-09,2303,3.31,22.54,0.89
2015-01-12,2303,3.17,23.51,0.93
2015-01-13,2303,3.22,23.21,0.92
2015-01-14,2303,3.28,22.76,0.9
2015-01-15,2303,3.32,22.46,0.89
2015-01-16,2303,3.4,21.94,0.87
2015-01-19,2303,3.32,22.46,0.89
2015-01-20,2303,3.29,22.69,0.89
2015-01-21,2303,3.3,22.61,0.89
2015-01-22,2303,3.24,23.06,0.91
2015-01-23,2303,3.21,23.28,0.92
2015-01-26,2303,3.23,23.13,0.91
2015-01-27,2303,3.24,23.06,0.91
2015-01-28,2303,3.19,23.36,0.92
2015-01-29,2303,3.26,22.91,0.9
2015-01-30,2303,3.25,22.99,0.91
2015-02-02,2303,3.24,23.06,0.91
2015-02-03,2303,3.19,23.36,0.92
2015-02-04,2303,3.19,23.36,0.92
2015-02-05,2303,3.17,23.51,0.93
2015-02-06,2303,3.19,23.36,0.92
2015-02-09,2303,3.19,23.36,0.92
2015-02-10,2303,3.25,22.99,0.91
2015-02-11,2303,3.17,23.51,0.93
2015-02-12,2303,3.19,23.36,0.92
2015-02-13,2303,3.21,23.28,0.92
2015-02-19,2303,4.58,10.0,0.67
2015-02-24,2303,3.15,23.66,0.93
2015-02-25,2303,3.12,23.96,0.94
2015-02-26,2303,3.13,23.88,0.94
2015-03-02,2303,3.15,23.66,0.93
2015-03-03,2303,3.15,23.66,0.93
2015-03-04,2303,3.17,23.51,0.93
2015-03-05,2303,3.19,23.36,0.92
2015-03-06,2303,3.19,23.36,0.92
2015-03-09,2303,3.18,23.43,0.92
2015-03-10,2303,3.18,23.43,0.92
2015-03-11,2303,3.19,23.36,0.92
2015-03-12,2303,3.16,23.58,0.93
2015-03-13,2303,3.18,23.43,0.92
2015-03-16,2303,3.19,23.36,0.92
2015-03-17,2303,3.19,23.36,0.92
2015-03-18,2303,3.17,23.51,0.93
2015-03-19,2303,3.47,23.66,0.9
2015-03-20,2303,3.51,16.13,0.89
2015-03-23,2303,3.49,16.24,0.89
2015-03-24,2303,3.5,16.19,0.89
2015-03-25,2303,3.53,16.08,0.88
2015-03-26,2303,3.61,15.72,0.86
2015-03-27,2303,3.62,15.67,0.86
2015-03-30,2303,3.59,15.77,0.87
2015-03-31,2303,3.55,15.98,0.88
2015-04-01,2303,3.61,15.72,0.86
2015-04-02,2303,3.55,15.98,0.88
2015-04-07,2303,3.48,16.29,0.89
2015-04-08,2303,3.51,16.13,0.89
2015-04-09,2303,3.57,15.88,0.87
2015-04-10,2303,3.61,15.72,0.86
2015-04-13,2303,3.61,15.72,0.86
2015-04-14,2303,3.64,15.57,0.86
2015-04-15,2303,3.78,15.0,0.82
2015-04-16,2303,3.74,15.15,0.83
