date,stock_id,dividend_yield,PER,PBR
2015-01-05,2204,3.95,13.01,0.81
2015-01-06,2204,4.04,12.71,0.79
2015-01-07,2204,4.04,12.71,0.79
2015-01-08,2204,3.99,12.9,0.8
2015-01-09,2204,4.02,12.78,0.8
2015-01-12,2204,4.04,12.73,0.79
2015-01-13,2204,4.03,12.76,0.79
2015-01-14,2204,3.97,12.94,0.81
2015-01-15,2204,4.04,12.73,0.79
2015-01-16,2204,4.07,12.64,0.79
2015-01-19,2204,4.07,12.64,0.79
2015-01-20,2204,4.07,12.64,0.79
2015-01-21,2204,4.07,12.64,0.79
2015-01-22,2204,4.02,12.78,0.8
2015-01-23,2204,4.01,12.83,0.8
2015-01-26,2204,4.01,12.8,0.8
2015-01-27,2204,4.03,12.76,0.79
2015-01-28,2204,4.04,12.71,0.79
2015-01-29,2204,4.01,12.8,0.8
2015-01-30,2204,4.05,12.69,0.79
2015-02-02,2204,4.05,12.69,0.79
2015-02-03,2204,4.07,12.64,0.79
2015-02-04,2204,4.04,12.73,0.79
2015-02-05,2204,4.04,12.73,0.79
2015-02-06,2204,4.04,12.73,0.79
2015-02-09,2204,4.07,12.62,0.79
2015-02-10,2204,4.09,12.57,0.78
2015-02-11,2204,4.07,12.62,0.79
2015-02-12,2204,4.04,12.71,0.79
2015-02-13,2204,4.04,12.71,0.79
2015-02-19,2204,5.13,10.42,0.63
2015-02-24,2204,4.06,12.66,0.79
2015-02-25,2204,4.03,12.76,0.79
2015-02-26,2204,4.07,12.64,0.79
2015-03-02,2204,4.07,12.62,0.79
2015-03-03,2204,4.04,12.71,0.79
2015-03-04,2204,4.05,12.69,0.79
2015-03-05,2204,4.07,12.62,0.79
2015-03-06,2204,4.07,12.64,0.79
2015-03-09,2204,4.05,12.69,0.79
2015-03-10,2204,4.08,12.59,0.78
2015-03-11,2204,4.09,12.57,0.78
2015-03-12,2204,4.07,12.62,0.79
2015-03-13,2204,4.11,12.5,0.78
