date,stock_id,dividend_yield,PER,PBR
2015-01-05,2609,0.0,34.39,1.47
2015-01-06,2609,0.0,33.98,1.45
2015-01-07,2609,0.0,35.0,1.49
2015-01-08,2609,0.0,34.29,1.46
2015-01-09,2609,0.0,35.0,1.49
2015-01-12,2609,0.0,34.69,1.48
2015-01-13,2609,0.0,34.8,1.48
2015-01-14,2609,0.0,35.31,1.51
2015-01-15,2609,0.0,34.39,1.47
2015-01-16,2609,0.0,34.49,1.47
2015-01-19,2609,0.0,33.67,1.44
2015-01-20,2609,0.0,34.29,1.46
2015-01-21,2609,0.0,34.49,1.47
2015-01-22,2609,0.0,34.69,1.48
2015-01-23,2609,0.0,34.29,1.46
2015-01-26,2609,0.0,35.41,1.51
2015-01-27,2609,0.0,35.71,1.52
2015-01-28,2609,0.0,35.31,1.51
2015-01-29,2609,0.0,34.49,1.47
2015-01-30,2609,0.0,34.49,1.47
2015-02-02,2609,0.0,33.06,1.41
2015-02-03,2609,0.0,33.27,1.42
2015-02-04,2609,0.0,32.76,1.4
2015-02-05,2609,0.0,33.37,1.42
2015-02-06,2609,0.0,33.27,1.42
2015-02-09,2609,0.0,33.16,1.41
2015-02-10,2609,0.0,32.86,1.4
2015-02-11,2609,0.0,32.65,1.39
2015-02-12,2609,0.0,33.27,1.42
2015-02-13,2609,0.0,33.16,1.41
2015-02-19,2609,0.0,0.0,0.78
2015-02-24,2609,0.0,33.06,1.41
2015-02-25,2609,0.0,34.49,1.47
2015-02-26,2609,0.0,34.69,1.48
2015-03-02,2609,0.0,35.71,1.52
2015-03-03,2609,0.0,35.51,1.51
2015-03-04,2609,0.0,34.9,1.49
2015-03-05,2609,0.0,34.59,1.48
2015-03-06,2609,0.0,35.1,1.5
2015-03-09,2609,0.0,34.9,1.49
2015-03-10,2609,0.0,35.1,1.5
2015-03-11,2609,0.0,36.12,1.54
2015-03-12,2609,0.0,37.24,1.59
2015-03-13,2609,0.0,37.04,1.58
2015-03-16,2609,0.0,37.24,1.59
2015-03-17,2609,0.0,37.35,1.59
2015-03-18,2609,0.0,38.88,1.66
2015-03-19,2609,0.0,38.27,1.63
2015-03-20,2609,0.0,37.96,1.62
2015-03-23,2609,0.0,37.86,1.61
2015-03-24,2609,0.0,38.78,1.65
2015-03-25,2609,0.0,37.76,1.57
2015-03-26,2609,0.0,123.57,1.47
2015-03-27,2609,0.0,122.86,1.46
2015-03-30,2609,0.0,124.64,1.48
2015-03-31,2609,0.0,128.57,1.53
2015-04-01,2609,0.0,127.14,1.51
2015-04-02,2609,0.0,126.79,1.51
2015-04-07,2609,0.0,129.64,1.54
2015-04-08,2609,0.0,130.0,1.54
2015-04-09,2609,0.0,128.93,1.53
2015-04-10,2609,0.0,127.14,1.51
2015-04-13,2609,0.0,130.36,1.55
2015-04-14,2609,0.0,130.71,1.55
2015-04-15,2609,0.0,126.79,1.51
2015-04-16,2609,0.0,126.43,1.5
2015-04-17,2609,0.0,124.64,1.48
2015-04-20,2609,0.0,117.86,1.4
2015-04-21,2609,0.0,118.93,1.41
2015-04-22,2609,0.0,121.43,1.44
2015-04-23,2609,0.0,120.71,1.43
2015-04-24,2609,0.0,114.29,1.36
2015-04-27,2609,0.0,111.43,1.32
2015-04-28,2609,0.0,113.57,1.35
2015-04-29,2609,0.0,113.57,1.35
2015-04-30,2609,0.0,114.64,1.36
2015-05-04,2609,0.0,112.5,1.34
2015-05-05,2609,0.0,113.57,1.35
2015-05-06,2609,0.0,107.14,1.27
2015-05-07,2609,0.0,104.64,1.24
2015-05-08,2609,0.0,106.79,1.27
2015-05-11,2609,0.0,105.0,1.25
2015-05-12,2609,0.0,105.36,1.25
2015-05-13,2609,0.0,105.71,1.26
2015-05-14,2609,0.0,106.07,1.26
2015-05-15,2609,0.0,103.57,1.22
2015-05-18,2609,0.0,17.76,1.14
2015-05-19,2609,0.0,17.5,1.12
2015-05-20,2609,0.0,17.24,1.1
2015-05-21,2609,0.0,16.32,1.04
2015-05-22,2609,0.0,16.38,1.05
2015-05-25,2609,0.0,16.64,1.06
2015-05-26,2609,0.0,16.45,1.05
2015-05-27,2609,0.0,16.32,1.04
2015-05-28,2609,0.0,16.32,1.04
2015-05-29,2609,0.0,16.38,1.05
2015-06-01,2609,0.0,16.12,1.03
2015-06-02,2609,0.0,15.92,1.02
2015-06-03,2609,0.0,15.66,1.0
2015-06-04,2609,0.0,15.13,0.97
2015-06-05,2609,0.0,14.87,0.95
2015-06-08,2609,0.0,14.61,0.93
2015-06-09,2609,0.0,13.42,0.86
2015-06-10,2609,0.0,14.74,0.94
2015-06-11,2609,0.0,14.47,0.93
2015-06-12,2609,0.0,14.01,0.9
2015-06-15,2609,0.0,13.62,0.87
2015-06-16,2609,0.0,13.75,0.88
2015-06-17,2609,0.0,13.75,0.88
2015-06-18,2609,0.0,14.34,0.92
2015-06-22,2609,0.0,14.28,0.91
2015-06-23,2609,0.0,14.08,0.9
2015-06-24,2609,0.0,14.21,0.91
2015-06-25,2609,0.0,14.34,0.92
2015-06-26,2609,0.0,14.28,0.91
2015-06-29,2609,0.0,13.95,0.89
2015-06-30,2609,0.0,14.21,0.91
2015-07-01,2609,0.0,14.67,0.94
2015-07-02,2609,0.0,14.47,0.93
2015-07-03,2609,0.0,14.47,0.93
2015-07-06,2609,0.0,15.2,0.97
2015-07-07,2609,0.0,15.79,1.01
2015-07-08,2609,0.0,15.13,0.97
2015-07-09,2609,0.0,14.8,0.95
2015-07-13,2609,0.0,14.87,0.95
2015-07-14,2609,0.0,15.0,0.96
2015-07-15,2609,0.0,15.86,1.01
2015-07-16,2609,0.0,15.86,1.01
2015-07-17,2609,0.0,15.59,1.0
2015-07-20,2609,0.0,15.13,0.97
2015-07-21,2609,0.0,15.39,0.98
2015-07-22,2609,0.0,15.26,0.98
2015-07-23,2609,0.0,15.2,0.97
2015-07-24,2609,0.0,15.2,0.97
2015-07-27,2609,0.0,14.54,0.93
2015-07-28,2609,0.0,14.14,0.9
2015-07-29,2609,0.0,14.34,0.92
