date,stock_id,dividend_yield,PER,PBR
2015-01-05,3037,2.46,64.08,0.83
2015-01-06,3037,2.53,62.37,0.81
2015-01-07,3037,2.54,62.11,0.8
2015-01-08,3037,2.51,62.89,0.81
2015-01-09,3037,2.5,63.16,0.82
2015-01-12,3037,2.58,61.18,0.79
2015-01-13,3037,2.55,61.84,0.8
2015-01-14,3037,2.55,61.84,0.8
2015-01-15,3037,2.58,61.18,0.79
2015-01-16,3037,2.64,59.74,0.77
2015-01-19,3037,2.69,58.68,0.76
2015-01-20,3037,2.65,59.61,0.77
2015-01-21,3037,2.63,60.13,0.78
2015-01-22,3037,2.56,61.71,0.8
2015-01-23,3037,2.52,62.63,0.81
2015-01-26,3037,2.53,62.5,0.81
2015-01-27,3037,2.52,62.63,0.81
2015-01-28,3037,2.52,62.63,0.81
2015-01-29,3037,2.55,61.84,0.8
2015-01-30,3037,2.74,57.63,0.74
2015-02-02,3037,2.78,56.84,0.73
2015-02-03,3037,2.76,57.11,0.74
2015-02-04,3037,2.73,57.76,0.75
2015-02-05,3037,2.76,57.11,0.74
2015-02-06,3037,2.77,56.97,0.74
2015-02-09,3037,2.82,56.05,0.72
2015-02-10,3037,2.84,55.66,0.72
2015-02-11,3037,2.82,55.92,0.72
2015-02-12,3037,2.86,55.26,0.71
2015-02-13,3037,2.83,55.79,0.72
2015-02-19,3037,3.41,0.0,0.51
2015-02-24,3037,2.81,56.18,0.73
2015-02-25,3037,2.83,55.79,0.72
2015-02-26,3037,2.84,55.66,0.72
2015-03-02,3037,2.86,55.13,0.71
2015-03-03,3037,2.88,54.74,0.71
2015-03-04,3037,2.86,55.26,0.71
2015-03-05,3037,2.81,56.18,0.73
2015-03-06,3037,2.82,55.92,0.72
2015-03-09,3037,2.83,55.79,0.72
2015-03-10,3037,2.78,56.84,0.73
2015-03-11,3037,2.8,56.32,0.73
2015-03-12,3037,2.79,56.58,0.73
2015-03-13,3037,2.8,56.32,0.73
2015-03-16,3037,2.82,56.05,0.72
2015-03-17,3037,2.83,55.79,0.72
