date,stock_id,dividend_yield,PER,PBR
2015-01-05,6139,6.15,13.79,0.68
2015-01-06,6139,6.2,13.67,0.68
2015-01-07,6139,6.16,13.76,0.68
2015-01-08,6139,6.16,13.76,0.68
2015-01-09,6139,6.12,13.84,0.68
2015-01-12,6139,6.02,14.07,0.7
2015-01-13,6139,6.02,14.07,0.7
2015-01-14,6139,6.04,14.04,0.69
2015-01-15,6139,6.06,13.98,0.69
2015-01-16,6139,6.1,13.9,0.69
2015-01-19,6139,6.09,13.93,0.69
2015-01-20,6139,6.04,14.04,0.69
2015-01-21,6139,6.01,14.1,0.7
2015-01-22,6139,6.07,13.95,0.69
2015-01-23,6139,6.1,13.9,0.69
2015-01-26,6139,6.15,13.79,0.68
2015-01-27,6139,6.15,13.79,0.68
2015-01-28,6139,6.12,13.84,0.68
2015-01-29,6139,6.11,13.87,0.69
2015-01-30,6139,6.11,13.87,0.69
2015-02-02,6139,6.12,13.84,0.68
2015-02-03,6139,6.13,13.81,0.68
2015-02-04,6139,6.12,13.84,0.68
2015-02-05,6139,6.12,13.84,0.68
2015-02-06,6139,6.15,13.79,0.68
2015-02-09,6139,6.13,13.81,0.68
2015-02-10,6139,6.11,13.87,0.69
2015-02-11,6139,6.19,13.7,0.68
2015-02-12,6139,6.19,13.7,0.68
2015-02-13,6139,6.17,13.73,0.68
2015-02-19,6139,4.52,12.12,0.48
2015-02-24,6139,6.28,13.5,0.67
2015-02-25,6139,3.42,13.22,0.65
2015-02-26,6139,3.4,13.31,0.66
2015-03-02,6139,3.4,13.31,0.66
2015-03-03,6139,3.42,13.22,0.65
2015-03-04,6139,3.4,13.28,0.66
2015-03-05,6139,3.4,13.31,0.66
2015-03-06,6139,3.38,13.36,0.66
2015-03-09,6139,3.39,13.33,0.66
2015-03-10,6139,3.41,13.25,0.65
2015-03-11,6139,3.43,13.16,0.65
2015-03-12,6139,3.39,13.33,0.66
2015-03-13,6139,3.42,13.22,0.65
2015-03-16,6139,3.39,13.33,0.66
2015-03-17,6139,3.39,13.33,0.66
2015-03-18,6139,3.4,13.28,0.66
2015-03-19,6139,3.41,13.25,0.65
2015-03-20,6139,3.42,13.22,0.65
2015-03-23,6139,3.43,13.16,0.65
2015-03-24,6139,3.44,13.14,0.65
2015-03-25,6139,3.46,13.08,0.63
2015-03-26,6139,3.45,17.58,0.63
2015-03-27,6139,3.45,17.58,0.63
2015-03-30,6139,3.46,17.5,0.63
2015-03-31,6139,3.43,17.65,0.63
2015-04-01,6139,3.46,17.5,0.63
2015-04-02,6139,3.46,17.5,0.63
2015-04-07,6139,3.46,17.5,0.63
2015-04-08,6139,3.47,17.46,0.62
2015-04-09,6139,3.48,17.42,0.62
2015-04-10,6139,3.49,17.39,0.62
2015-04-13,6139,3.46,17.5,0.63
2015-04-14,6139,3.47,17.46,0.62
2015-04-15,6139,3.49,17.39,0.62
2015-04-16,6139,3.49,17.35,0.62
2015-04-17,6139,3.49,17.35,0.62
2015-04-20,6139,3.51,17.27,0.62
2015-04-21,6139,3.53,17.16,0.61
2015-04-22,6139,3.56,17.05,0.61
2015-04-23,6139,3.56,17.01,0.61
2015-04-24,6139,3.48,17.42,0.62
2015-04-27,6139,3.46,17.54,0.63
2015-04-28,6139,3.48,17.42,0.62
2015-04-29,6139,3.46,17.5,0.63
2015-04-30,6139,3.46,17.5,0.63
2015-05-04,6139,3.48,17.42,0.62
2015-05-05,6139,3.51,17.27,0.62
2015-05-06,6139,3.51,17.27,0.62
2015-05-07,6139,3.52,17.23,0.62
2015-05-08,6139,3.49,17.39,0.62
2015-05-11,6139,3.53,17.16,0.61
2015-05-12,6139,3.53,17.16,0.61
2015-05-13,6139,3.55,17.08,0.61
2015-05-14,6139,3.56,17.01,0.62
2015-05-15,6139,3.64,18.8,0.61
2015-05-18,6139,3.75,18.25,0.59
2015-05-19,6139,3.67,18.63,0.6
2015-05-20,6139,3.68,18.59,0.6
2015-05-21,6139,3.69,18.55,0.6
2015-05-22,6139,3.69,18.55,0.6
2015-05-25,6139,3.72,18.38,0.59
2015-05-26,6139,3.73,18.33,0.59
2015-05-27,6139,3.73,18.33,0.59
2015-05-28,6139,3.72,18.38,0.59
2015-05-29,6139,3.73,18.33,0.59
2015-06-01,6139,3.7,18.46,0.59
2015-06-02,6139,3.67,18.63,0.6
2015-06-03,6139,3.63,18.85,0.61
2015-06-04,6139,3.64,18.8,0.61
2015-06-05,6139,3.73,18.33,0.59
2015-06-08,6139,3.73,18.33,0.59
2015-06-09,6139,3.73,18.33,0.59
2015-06-10,6139,3.73,18.33,0.59
2015-06-11,6139,3.7,18.5,0.6
2015-06-12,6139,3.75,18.25,0.59
2015-06-15,6139,3.76,18.16,0.58
2015-06-16,6139,3.81,17.95,0.58
2015-06-17,6139,3.86,17.69,0.57
2015-06-18,6139,3.89,17.56,0.57
2015-06-22,6139,3.86,17.69,0.57
2015-06-23,6139,3.9,17.52,0.56
2015-06-24,6139,3.86,17.69,0.57
2015-06-25,6139,3.85,17.78,0.57
2015-06-26,6139,3.86,17.74,0.57
2015-06-29,6139,3.94,17.35,0.56
2015-06-30,6139,3.93,17.39,0.56
2015-07-01,6139,3.91,17.48,0.56
2015-07-02,6139,3.92,17.44,0.56
2015-07-03,6139,3.92,17.44,0.56
2015-07-06,6139,3.98,17.18,0.55
2015-07-07,6139,3.95,17.31,0.56
2015-07-08,6139,4.09,16.71,0.54
2015-07-09,6139,4.02,17.01,0.55
2015-07-13,6139,3.98,17.18,0.55
2015-07-14,6139,4.01,17.05,0.55
2015-07-15,6139,4.0,17.09,0.55
2015-07-16,6139,4.02,17.01,0.55
2015-07-17,6139,4.03,16.97,0.55
2015-07-20,6139,4.03,16.97,0.55
2015-07-21,6139,4.02,17.01,0.55
2015-07-22,6139,4.06,16.84,0.54
2015-07-23,6139,4.04,16.92,0.54
2015-07-24,6139,4.04,16.92,0.54
2015-07-27,6139,4.18,16.37,0.53
2015-07-28,6139,4.15,16.5,0.53
2015-07-29,6139,4.12,16.58,0.53
2015-07-30,6139,4.15,16.5,0.53
2015-07-31,6139,4.13,16.54,0.53
2015-08-03,6139,4.26,16.07,0.52
2015-08-04,6139,4.27,16.03,0.52
2015-08-05,6139,4.46,15.34,0.49
2015-08-06,6139,4.44,15.38,0.5
2015-08-07,6139,4.46,15.34,0.49
2015-08-10,6139,4.41,15.51,0.5
2015-08-11,6139,4.44,15.38,0.5
2015-08-12,6139,4.44,15.38,0.5
2015-08-13,6139,4.32,15.81,0.53
2015-08-14,6139,4.49,22.53,0.51
2015-08-17,6139,4.57,22.15,0.5
2015-08-18,6139,4.56,22.22,0.5
2015-08-19,6139,4.91,20.63,0.46
2015-08-20,6139,4.97,20.38,0.46
2015-08-21,6139,5.08,19.94,0.45
2015-08-24,6139,5.33,18.99,0.43
2015-08-25,6139,5.42,18.67,0.42
2015-08-26,6139,5.33,18.99,0.43
2015-08-27,6139,5.19,19.49,0.44
2015-08-28,6139,5.11,19.81,0.45
2015-08-31,6139,5.1,19.87,0.45
2015-09-01,6139,5.08,19.94,0.45
2015-09-02,6139,5.13,19.75,0.44
2015-09-03,6139,4.98,20.32,0.46
2015-09-04,6139,5.03,20.13,0.45
2015-09-07,6139,5.05,20.06,0.45
2015-09-08,6139,4.98,20.32,0.46
2015-09-09,6139,4.88,20.76,0.47
2015-09-10,6139,4.88,20.76,0.47
2015-09-11,6139,4.88,20.76,0.47
2015-09-14,6139,4.97,20.38,0.46
2015-09-15,6139,4.95,20.44,0.46
2015-09-16,6139,4.91,20.63,0.46
2015-09-17,6139,4.88,20.76,0.47
2015-09-18,6139,4.85,20.89,0.47
2015-09-21,6139,4.88,20.76,0.47
2015-09-22,6139,4.86,20.82,0.47
2015-09-23,6139,4.92,20.57,0.46
2015-09-24,6139,4.95,20.44,0.46
2015-09-25,6139,5.02,20.19,0.45
2015-09-30,6139,5.0,20.25,0.46
2015-10-01,6139,4.94,20.51,0.46
2015-10-02,6139,4.94,20.51,0.46
2015-10-05,6139,4.86,20.82,0.47
2015-10-06,6139,4.89,20.7,0.47
2015-10-07,6139,4.89,20.7,0.47
2015-10-08,6139,4.97,20.38,0.46
2015-10-12,6139,4.82,21.01,0.47
2015-10-13,6139,4.69,21.58,0.49
2015-10-14,6139,4.27,23.73,0.53
2015-10-15,6139,4.03,25.13,0.57
2015-10-16,6139,4.08,24.81,0.56
2015-10-19,6139,4.2,24.11,0.54
2015-10-20,6139,4.21,24.05,0.54
2015-10-21,6139,4.26,23.8,0.54
2015-10-22,6139,4.18,24.24,0.55
2015-10-23,6139,4.26,23.8,0.54
2015-10-26,6139,4.26,23.8,0.54
2015-10-27,6139,4.26,23.8,0.54
2015-10-28,6139,4.28,23.67,0.53
2015-10-29,6139,4.26,23.8,0.54
2015-10-30,6139,4.27,23.73,0.53
2015-11-02,6139,4.28,23.67,0.53
2015-11-03,6139,4.28,23.67,0.53
2015-11-04,6139,4.21,24.05,0.54
2015-11-05,6139,4.22,23.99,0.54
2015-11-06,6139,4.21,24.05,0.54
2015-11-09,6139,4.3,23.54,0.53
2015-11-10,6139,4.44,22.78,0.51
2015-11-11,6139,4.66,11.75,0.47
2015-11-12,6139,4.58,11.95,0.47
2015-11-13,6139,4.49,12.19,0.48
2015-11-16,6139,4.47,12.26,0.49
2015-11-17,6139,4.41,12.43,0.49
2015-11-18,6139,4.44,12.33,0.49
2015-11-19,6139,4.46,12.29,0.49
2015-11-20,6139,4.46,12.29,0.49
2015-11-23,6139,4.48,12.23,0.49
2015-11-24,6139,4.49,12.19,0.48
2015-11-25,6139,4.56,12.02,0.48
2015-11-26,6139,4.52,12.12,0.48
2015-11-27,6139,4.51,12.16,0.48
2015-11-30,6139,4.58,11.95,0.47
2015-12-01,6139,4.55,12.05,0.48
2015-12-02,6139,4.6,11.92,0.47
2015-12-03,6139,4.58,11.95,0.47
2015-12-04,6139,4.53,12.09,0.48
2015-12-07,6139,4.55,12.05,0.48
2015-12-08,6139,4.3,12.74,0.51
2015-12-09,6139,4.43,12.36,0.49
2015-12-10,6139,4.46,12.29,0.49
2015-12-11,6139,4.49,12.19,0.48
2015-12-14,6139,4.55,12.05,0.48
2015-12-15,6139,4.49,12.19,0.48
2015-12-16,6139,4.51,12.16,0.48
2015-12-17,6139,4.42,12.4,0.49
2015-12-18,6139,4.52,12.12,0.48
2015-12-21,6139,4.47,12.26,0.49
2015-12-22,6139,4.48,12.23,0.49
2015-12-23,6139,4.49,12.19,0.48
2015-12-24,6139,4.49,12.19,0.48
2015-12-25,6139,4.49,12.19,0.48
2015-12-28,6139,4.41,12.43,0.49
2015-12-29,6139,4.44,12.33,0.49
2015-12-30,6139,4.42,12.4,0.49
2015-12-31,6139,4.42,12.4,0.49
2016-01-04,6139,4.48,12.23,0.49
2016-01-05,6139,4.49,12.19,0.48
2016-01-06,6139,4.56,12.02,0.48
2016-01-07,6139,4.71,11.64,0.46
2016-01-08,6139,4.65,11.78,0.47
2016-01-11,6139,4.4,12.47,0.5
2016-01-12,6139,4.49,12.19,0.48
2016-01-13,6139,4.4,12.47,0.5
2016-01-14,6139,4.42,12.4,0.49
2016-01-15,6139,4.36,12.57,0.5
2016-01-18,6139,4.27,12.84,0.51
2016-01-19,6139,4.27,12.84,0.51
2016-01-20,6139,4.34,12.64,0.5
2016-01-21,6139,4.44,12.33,0.49
2016-01-22,6139,4.42,12.4,0.49
2016-01-25,6139,4.41,12.43,0.49
2016-01-26,6139,4.42,12.4,0.49
2016-01-27,6139,4.41,12.43,0.49
2016-01-28,6139,4.37,12.53,0.5
2016-01-29,6139,4.29,12.77,0.51
2016-01-30,6139,4.28,12.81,0.51
2016-02-01,6139,4.29,12.77,0.51
2016-02-02,6139,4.31,12.71,0.5
2016-02-03,6139,4.3,12.74,0.51
2016-02-15,6139,3.91,14.01,0.56
2016-02-16,6139,3.76,14.55,0.58
2016-02-17,6139,3.83,14.32,0.57
2016-02-18,6139,3.57,15.34,0.61
2016-02-19,6139,3.42,16.03,0.64
2016-02-22,6139,3.31,16.54,0.66
2016-02-23,6139,3.4,16.13,0.64
2016-02-24,6139,3.09,17.74,0.7
2016-02-25,6139,2.81,19.49,0.77
2016-02-26,6139,2.99,18.36,0.73
2016-03-01,6139,2.72,20.17,0.8
2016-03-02,6139,2.74,19.97,0.79
2016-03-03,6139,2.74,20.03,0.8
2016-03-04,6139,2.64,20.75,0.82
2016-03-07,6139,2.73,20.07,0.8
2016-03-08,6139,3.5,19.55,0.78
2016-03-09,6139,3.46,19.79,0.79
2016-03-10,6139,3.42,20.03,0.8
2016-03-11,6139,3.11,22.02,0.87
2016-03-14,6139,2.83,24.21,0.96
2016-03-15,6139,2.74,25.0,0.99
2016-03-16,6139,2.49,27.5,1.09
2016-03-17,6139,2.52,27.19,1.08
2016-03-18,6139,2.51,27.29,1.08
2016-03-21,6139,2.55,26.82,1.07
2016-03-22,6139,2.67,25.68,1.02
2016-03-23,6139,2.56,26.71,1.06
2016-03-24,6139,2.62,26.16,1.04
2016-03-25,6139,2.59,26.44,1.05
2016-03-28,6139,2.79,24.55,0.98
2016-03-29,6139,2.92,23.46,0.93
2016-03-30,6139,2.71,36.13,1.02
2016-03-31,6139,3.01,32.55,0.92
2016-04-01,6139,2.94,33.33,0.94
2016-04-06,6139,2.85,34.41,0.97
2016-04-07,6139,3.01,32.55,0.92
2016-04-08,6139,3.13,31.37,0.89
2016-04-11,6139,3.31,29.66,0.84
2016-04-12,6139,3.26,30.05,0.85
2016-04-13,6139,3.1,31.67,0.89
2016-04-14,6139,3.18,30.83,0.87
2016-04-15,6139,3.29,29.8,0.84
2016-04-18,6139,3.23,30.39,0.86
2016-04-19,6139,3.15,31.08,0.88
2016-04-20,6139,3.31,29.66,0.84
2016-04-21,6139,3.23,30.39,0.86
2016-04-22,6139,3.31,29.66,0.84
2016-04-25,6139,3.31,29.61,0.84
2016-04-26,6139,3.01,32.55,0.92
2016-04-27,6139,3.09,31.76,0.9
2016-04-28,6139,3.07,31.96,0.9
2016-04-29,6139,3.13,31.37,0.89
2016-05-03,6139,3.29,29.75,0.84
2016-05-04,6139,3.32,29.56,0.83
2016-05-05,6139,3.23,30.34,0.86
2016-05-06,6139,3.26,30.05,0.85
2016-05-09,6139,3.22,30.49,0.86
2016-05-10,6139,3.57,27.45,0.77
2016-05-11,6139,3.8,25.83,0.73
2016-05-12,6139,3.93,24.95,0.7
2016-05-13,6139,3.65,14.89,0.7
2016-05-16,6139,4.05,13.42,0.63
2016-05-17,6139,3.95,13.75,0.65
2016-05-18,6139,3.94,13.78,0.65
2016-05-19,6139,4.02,13.51,0.63
2016-05-20,6139,4.0,13.59,0.64
2016-05-23,6139,3.83,14.18,0.67
2016-05-24,6139,3.83,14.18,0.67
2016-05-25,6139,3.82,14.24,0.67
2016-05-26,6139,3.77,14.43,0.68
2016-05-27,6139,3.7,14.7,0.69
2016-05-30,6139,3.67,14.81,0.69
2016-05-31,6139,3.33,14.54,0.68
2016-06-01,6139,3.3,14.67,0.69
2016-06-02,6139,3.26,14.84,0.7
2016-06-03,6139,3.33,14.51,0.68
2016-06-04,6139,3.42,14.16,0.66
2016-06-06,6139,3.41,14.18,0.67
2016-06-07,6139,3.39,14.27,0.67
2016-06-08,6139,3.35,14.46,0.68
2016-06-13,6139,3.49,13.86,0.65
2016-06-14,6139,3.5,13.83,0.65
2016-06-15,6139,3.48,13.89,0.65
2016-06-16,6139,3.52,13.75,0.65
2016-06-17,6139,3.48,13.89,0.65
2016-06-20,6139,3.44,14.05,0.66
2016-06-21,6139,3.44,14.05,0.66
2016-06-22,6139,3.5,13.8,0.65
2016-06-23,6139,3.48,13.91,0.65
2016-06-24,6139,3.63,13.34,0.63
2016-06-27,6139,3.6,13.42,0.63
2016-06-28,6139,3.56,13.59,0.64
2016-06-29,6139,3.59,13.48,0.63
2016-06-30,6139,3.59,13.48,0.63
2016-07-01,6139,3.62,13.37,0.63
2016-07-04,6139,3.48,13.91,0.65
2016-07-05,6139,3.41,14.18,0.67
2016-07-06,6139,3.49,13.86,0.65
2016-07-07,6139,3.47,13.94,0.65
2016-07-11,6139,3.44,14.05,0.66
2016-07-12,6139,3.59,13.48,0.63
2016-07-13,6139,3.61,13.4,0.63
2016-07-14,6139,3.6,13.45,0.63
2016-07-15,6139,3.5,13.83,0.65
2016-07-18,6139,3.45,14.02,0.66
2016-07-19,6139,3.49,13.86,0.65
2016-07-20,6139,3.49,13.86,0.65
2016-07-21,6139,3.45,14.02,0.66
2016-07-22,6139,3.42,13.97,0.66
2016-07-25,6139,3.46,13.83,0.65
2016-07-26,6139,3.49,13.72,0.64
2016-07-27,6139,3.44,13.89,0.65
2016-07-28,6139,3.48,13.75,0.65
2016-07-29,6139,3.45,13.86,0.65
2016-08-01,6139,3.46,13.83,0.65
2016-08-02,6139,3.47,13.78,0.65
2016-08-03,6139,3.49,13.72,0.64
2016-08-04,6139,3.61,13.26,0.62
2016-08-05,6139,3.58,13.34,0.63
2016-08-08,6139,3.54,13.51,0.63
2016-08-09,6139,3.61,13.23,0.62
2016-08-10,6139,3.64,13.15,0.62
2016-08-11,6139,3.83,12.47,0.59
2016-08-12,6139,3.88,9.83,0.66
2016-08-15,6139,3.53,10.8,0.73
2016-08-16,6139,3.46,11.02,0.74
2016-08-17,6139,3.5,10.89,0.73
2016-08-18,6139,3.18,11.97,0.8
2016-08-19,6139,3.12,12.21,0.82
2016-08-22,6139,3.06,12.47,0.84
2016-08-23,6139,3.06,12.45,0.84
2016-08-24,6139,3.14,12.12,0.81
2016-08-25,6139,3.12,12.23,0.82
2016-08-26,6139,3.1,12.29,0.83
2016-08-29,6139,3.11,12.25,0.82
2016-08-30,6139,2.95,12.9,0.87
2016-08-31,6139,3.08,12.38,0.83
2016-09-01,6139,3.1,12.27,0.82
2016-09-02,6139,3.21,11.88,0.8
2016-09-05,6139,3.15,12.08,0.81
2016-09-06,6139,3.17,12.01,0.81
2016-09-07,6139,3.19,11.93,0.8
2016-09-08,6139,3.18,11.99,0.81
2016-09-09,6139,3.17,12.01,0.81
2016-09-10,6139,3.28,11.6,0.78
2016-09-12,6139,3.25,11.71,0.79
2016-09-13,6139,3.34,11.41,0.77
2016-09-14,6139,3.38,11.28,0.76
2016-09-19,6139,3.32,11.47,0.77
2016-09-20,6139,3.3,11.56,0.78
2016-09-21,6139,3.28,11.6,0.78
2016-09-22,6139,3.24,11.77,0.79
2016-09-23,6139,3.22,11.84,0.8
2016-09-26,6139,3.28,11.6,0.78
2016-09-29,6139,2.99,12.75,0.86
2016-09-30,6139,3.03,12.55,0.84
2016-10-03,6139,3.1,12.27,0.82
2016-10-04,6139,3.13,12.19,0.82
2016-10-05,6139,3.08,12.38,0.83
2016-10-06,6139,3.09,12.34,0.83
2016-10-07,6139,3.08,12.36,0.83
2016-10-11,6139,3.42,11.13,0.75
2016-10-12,6139,3.4,11.19,0.75
2016-10-13,6139,3.46,11.02,0.74
2016-10-14,6139,3.63,10.5,0.71
2016-10-17,6139,3.57,10.67,0.72
2016-10-18,6139,3.53,10.78,0.72
2016-10-19,6139,3.51,10.87,0.73
2016-10-20,6139,3.53,10.78,0.72
2016-10-21,6139,3.54,10.76,0.72
2016-10-24,6139,3.55,10.74,0.72
2016-10-25,6139,3.51,10.84,0.73
2016-10-26,6139,3.52,10.82,0.73
2016-10-27,6139,3.5,10.89,0.73
2016-10-28,6139,3.55,10.74,0.72
2016-10-31,6139,3.56,10.71,0.72
2016-11-01,6139,3.56,10.69,0.72
2016-11-02,6139,3.64,10.48,0.7
2016-11-03,6139,3.61,10.54,0.71
2016-11-04,6139,3.61,10.56,0.71
2016-11-07,6139,3.54,10.76,0.72
2016-11-08,6139,3.59,10.61,0.71
2016-11-09,6139,3.73,10.22,0.69
2016-11-10,6139,3.59,10.61,0.71
2016-11-11,6139,3.64,11.9,0.71
2016-11-14,6139,3.62,11.97,0.71
2016-11-15,6139,3.62,11.97,0.71
2016-11-16,6139,3.51,12.34,0.73
2016-11-17,6139,3.42,12.68,0.75
2016-11-18,6139,3.44,12.61,0.75
2016-11-21,6139,3.42,12.66,0.75
2016-11-22,6139,3.46,12.51,0.74
2016-11-23,6139,3.48,12.46,0.74
2016-11-24,6139,3.51,12.36,0.73
2016-11-25,6139,3.49,12.41,0.74
2016-11-28,6139,3.49,12.44,0.74
2016-11-29,6139,3.48,12.46,0.74
2016-11-30,6139,3.45,12.56,0.75
2016-12-01,6139,3.39,12.78,0.76
2016-12-02,6139,3.42,12.68,0.75
2016-12-05,6139,3.37,12.88,0.76
2016-12-06,6139,3.38,12.83,0.76
2016-12-07,6139,3.21,13.52,0.8
2016-12-08,6139,3.09,14.04,0.83
2016-12-09,6139,3.01,14.41,0.86
2016-12-12,6139,2.95,14.68,0.87
2016-12-13,6139,2.9,14.93,0.89
2016-12-14,6139,2.89,15.0,0.89
2016-12-15,6139,2.82,15.39,0.91
2016-12-16,6139,2.82,15.39,0.91
2016-12-19,6139,2.84,15.27,0.91
2016-12-20,6139,2.83,15.34,0.91
2016-12-21,6139,2.72,15.96,0.95
2016-12-22,6139,2.79,15.54,0.92
2016-12-23,6139,2.8,15.47,0.92
2016-12-26,6139,2.74,15.81,0.94
2016-12-27,6139,2.81,15.42,0.91
2016-12-28,6139,2.78,15.59,0.93
2016-12-29,6139,2.53,17.14,1.02
2016-12-30,6139,2.35,18.47,1.1
2017-01-03,6139,2.4,18.03,1.07
2017-01-04,6139,2.36,18.35,1.09
2017-01-05,6139,2.39,18.1,1.07
2017-01-06,6139,2.4,18.05,1.07
2017-01-09,6139,2.46,17.64,1.05
2017-01-10,6139,2.38,18.23,1.08
2017-01-11,6139,2.32,18.72,1.11
2017-01-12,6139,2.39,18.13,1.08
2017-01-13,6139,2.38,18.2,1.08
2017-01-16,6139,2.35,18.47,1.1
2017-01-17,6139,2.35,18.45,1.09
2017-01-18,6139,2.38,18.25,1.08
2017-01-19,6139,2.44,17.78,1.06
2017-01-20,6139,2.45,17.71,1.05
2017-01-23,6139,2.44,17.78,1.06
2017-01-24,6139,2.51,17.24,1.02
2017-02-02,6139,2.46,17.59,1.04
2017-02-03,6139,2.43,17.83,1.06
2017-02-06,6139,2.39,18.13,1.08
2017-02-07,6139,2.39,18.1,1.07
2017-02-08,6139,2.44,17.76,1.05
2017-02-09,6139,2.46,17.61,1.05
2017-02-10,6139,2.48,17.51,1.04
2017-02-13,6139,2.48,17.49,1.04
2017-02-14,6139,2.47,17.56,1.04
2017-02-15,6139,2.41,17.96,1.07
2017-02-16,6139,2.44,17.73,1.05
2017-02-17,6139,2.46,17.59,1.04
2017-02-18,6139,2.48,17.49,1.04
2017-02-20,6139,2.49,17.39,1.03
2017-02-21,6139,2.52,17.22,1.02
2017-02-22,6139,2.43,17.83,1.06
2017-02-23,6139,2.42,17.88,1.06
2017-02-24,6139,2.45,17.71,1.05
2017-03-01,6139,2.44,17.73,1.05
2017-03-02,6139,2.42,17.88,1.06
2017-03-03,6139,2.45,17.66,1.05
2017-03-06,6139,4.09,18.05,1.07
2017-03-07,6139,4.07,18.18,1.08
2017-03-08,6139,4.12,17.93,1.06
2017-03-09,6139,4.13,17.88,1.06
2017-03-10,6139,4.2,17.61,1.05
