stock_id,stock_name,source,dataset,start_date,end_date,success,n_rows,fetch_status,request_budget_status,error_message,saved_path
1308,亞聚,finmind,per_pbr,2015-01-01,2025-12-31,True,2684,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\per_pbr\1308_per_pbr.csv
1308,亞聚,finmind,month_revenue,2015-01-01,2025-12-31,True,132,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\revenue\1308_revenue.csv
1308,亞聚,finmind,financial_statement,2015-01-01,2025-12-31,True,665,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\financials\1308_financial.csv
1308,亞聚,finmind,balance_sheet,2015-01-01,2025-12-31,True,2743,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\balance_sheet\1308_balance_sheet.csv
1326,台化,finmind,price,2015-01-01,2025-12-31,True,2682,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\prices\1326_price.csv
1326,台化,finmind,per_pbr,2015-01-01,2025-12-31,True,2684,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\per_pbr\1326_per_pbr.csv
1326,台化,finmind,month_revenue,2015-01-01,2025-12-31,True,132,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\revenue\1326_revenue.csv
1326,台化,finmind,financial_statement,2015-01-01,2025-12-31,True,753,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\financials\1326_financial.csv
1326,台化,finmind,balance_sheet,2015-01-01,2025-12-31,True,2961,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\balance_sheet\1326_balance_sheet.csv
1402,遠東新,finmind,price,2015-01-01,2025-12-31,True,2682,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\prices\1402_price.csv
1402,遠東新,finmind,per_pbr,2015-01-01,2025-12-31,True,2684,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\per_pbr\1402_per_pbr.csv
1402,遠東新,finmind,month_revenue,2015-01-01,2025-12-31,True,132,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\revenue\1402_revenue.csv
1402,遠東新,finmind,financial_statement,2015-01-01,2025-12-31,True,795,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\financials\1402_financial.csv
1402,遠東新,finmind,balance_sheet,2015-01-01,2025-12-31,True,2971,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\balance_sheet\1402_balance_sheet.csv
1503,士電,finmind,price,2015-01-01,2025-12-31,True,2682,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\prices\1503_price.csv
1503,士電,finmind,per_pbr,2015-01-01,2025-12-31,True,2684,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\per_pbr\1503_per_pbr.csv
1503,士電,finmind,month_revenue,2015-01-01,2025-12-31,True,132,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\revenue\1503_revenue.csv
1503,士電,finmind,financial_statement,2015-01-01,2025-12-31,True,748,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\financials\1503_financial.csv
1503,士電,finmind,balance_sheet,2015-01-01,2025-12-31,True,2757,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\balance_sheet\1503_balance_sheet.csv
1504,東元,finmind,price,2015-01-01,2025-12-31,True,2682,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\prices\1504_price.csv
1504,東元,finmind,per_pbr,2015-01-01,2025-12-31,True,2684,cache_hit,0/80,,C:\Users\user\Documents\project\FineTech\data\external\raw\per_pbr\1504_per_pbr.csv
