split_id,model_name,train_years,test_years,year,top_k,rank,證券代碼,簡稱,predicted_return,actual_label,actual_return,weight_method,weight,actual_return_decimal,return_contribution,gross_return,net_return
1,svr_ga_regression,1997,1998,1998,20,1,2706,第一店,57.04158232680845,1,10.5944,equal,0.05,0.105944,0.0052972,0.06112549999999999,0.05732749999999999
1,svr_ga_regression,1997,1998,1998,20,2,5346,力晶,55.23929092757892,1,216.8088,equal,0.05,2.168088,0.10840440000000001,0.06112549999999999,0.05732749999999999
1,svr_ga_regression,1997,1998,1998,20,3,5318,佳鼎,35.34978708104708,-1,-37.9413,equal,0.05,-0.379413,-0.018970650000000002,0.06112549999999999,0.05732749999999999
1,svr_ga_regression,1997,1998,1998,20,4,2358,美格,34.823618853705426,-1,-66.9481,equal,0.05,-0.669481,-0.03347405,0.06112549999999999,0.05732749999999999
1,svr_ga_regression,1997,1998,1998,20,5,5347,世界,33.26833375306204,1,119.9641,equal,0.05,1.199641,0.05998205,0.06112549999999999,0.05732749999999999
1,svr_ga_regression,1997,1998,1998,20,6,8716,尖美,31.691648548260524,-1,-92.2571,equal,0.05,-0.9225709999999999,-0.04612855,0.06112549999999999,0.05732749999999999
1,svr_ga_regression,1997,1998,1998,20,7,8382,美式,31.13894980205274,-1,-98.4381,equal,0.05,-0.9843810000000001,-0.04921905000000001,0.06112549999999999,0.05732749999999999
1,svr_ga_regression,1997,1998,1998,20,8,2537,聯上發,31.045534749638804,-1,-23.5052,equal,0.05,-0.23505199999999998,-0.0117526,0.06112549999999999,0.05732749999999999
1,svr_ga_regression,1997,1998,1998,20,9,8706,金緯,31.044996068058232,-1,-98.9775,equal,0.05,-0.9897750000000001,-0.049488750000000005,0.06112549999999999,0.05732749999999999
1,svr_ga_regression,1997,1998,1998,20,10,8723,順大裕,31.04494829336753,-1,-68.3262,equal,0.05,-0.683262,-0.0341631,0.06112549999999999,0.05732749999999999
1,svr_ga_regression,1997,1998,1998,20,11,2357,華碩,30.51900989501325,1,56.0181,equal,0.05,0.5601809999999999,0.028009049999999997,0.06112549999999999,0.05732749999999999
1,svr_ga_regression,1997,1998,1998,20,12,2910,統領,28.46035092846733,1,12.0175,equal,0.05,0.120175,0.00600875,0.06112549999999999,0.05732749999999999
1,svr_ga_regression,1997,1998,1998,20,13,2376,技嘉,24.44453388363334,1,29.0524,equal,0.05,0.290524,0.014526200000000001,0.06112549999999999,0.05732749999999999
1,svr_ga_regression,1997,1998,1998,20,14,2912,統一超,21.182752567354758,1,62.5085,equal,0.05,0.625085,0.031254250000000004,0.06112549999999999,0.05732749999999999
1,svr_ga_regression,1997,1998,1998,20,15,2317,鴻海,20.30234949786288,1,87.7049,equal,0.05,0.877049,0.04385245,0.06112549999999999,0.05732749999999999
1,svr_ga_regression,1997,1998,1998,20,16,5512,力麒,16.07427594376267,-1,-49.0651,equal,0.05,-0.490651,-0.02453255,0.06112549999999999,0.05732749999999999
1,svr_ga_regression,1997,1998,1998,20,17,2381,華宇,15.483873262937294,1,23.9331,equal,0.05,0.239331,0.01196655,0.06112549999999999,0.05732749999999999
1,svr_ga_regression,1997,1998,1998,20,18,1201,味全,14.349623176936774,-1,-48.7212,equal,0.05,-0.48721200000000003,-0.024360600000000003,0.06112549999999999,0.05732749999999999
1,svr_ga_regression,1997,1998,1998,20,19,2380,虹光,13.825200791055153,1,73.9236,equal,0.05,0.7392359999999999,0.036961799999999996,0.06112549999999999,0.05732749999999999
1,svr_ga_regression,1997,1998,1998,20,20,2341,英群,13.266273114204267,1,13.9054,equal,0.05,0.139054,0.006952700000000001,0.06112549999999999,0.05732749999999999
1,svr_ga_regression,1997,1998,1998,20,1,2706,第一店,57.04158232680845,1,10.5944,score,0.14386925281799404,0.105944,0.01524208412054956,0.17485522403368192,0.17105722403368193
1,svr_ga_regression,1997,1998,1998,20,2,5346,力晶,55.23929092757892,1,216.8088,score,0.137945952180456,2.168088,0.2990789635710205,0.17485522403368192,0.17105722403368193
1,svr_ga_regression,1997,1998,1998,20,3,5318,佳鼎,35.34978708104708,-1,-37.9413,score,0.07257832579948269,-0.379413,-0.027537160326559125,0.17485522403368192,0.17105722403368193
1,svr_ga_regression,1997,1998,1998,20,4,2358,美格,34.823618853705426,-1,-66.9481,score,0.07084905349767985,-0.669481,-0.0474320951846802,0.17485522403368192,0.17105722403368193
1,svr_ga_regression,1997,1998,1998,20,5,5347,世界,33.26833375306204,1,119.9641,score,0.06573754864772459,1.199641,0.07886145859730496,0.17485522403368192,0.17105722403368193
1,svr_ga_regression,1997,1998,1998,20,6,8716,尖美,31.691648548260524,-1,-92.2571,score,0.06055571152483199,-0.9225709999999999,-0.05586694333717577,0.17485522403368192,0.17105722403368193
1,svr_ga_regression,1997,1998,1998,20,7,8382,美式,31.13894980205274,-1,-98.4381,score,0.05873924564302254,-0.9843810000000001,-0.057821797365324175,0.17485522403368192,0.17105722403368193
1,svr_ga_regression,1997,1998,1998,20,8,2537,聯上發,31.045534749638804,-1,-23.5052,score,0.05843223344746102,-0.23505199999999998,-0.013734613336292606,0.17485522403368192,0.17105722403368193
1,svr_ga_regression,1997,1998,1998,20,9,8706,金緯,31.044996068058232,-1,-98.9775,score,0.05843046304953813,-0.9897750000000001,-0.05783301156485661,0.17485522403368192,0.17105722403368193
1,svr_ga_regression,1997,1998,1998,20,10,8723,順大裕,31.04494829336753,-1,-68.3262,score,0.05843030603616281,-0.683262,-0.03992320776288068,0.17485522403368192,0.17105722403368193
1,svr_ga_regression,1997,1998,1998,20,11,2357,華碩,30.51900989501325,1,56.0181,score,0.05670178907624756,0.5601809999999999,0.03176326490652143,0.17485522403368192,0.17105722403368193
1,svr_ga_regression,1997,1998,1998,20,12,2910,統領,28.46035092846733,1,12.0175,score,0.049935926478097366,0.120175,0.006001049964505351,0.17485522403368192,0.17105722403368193
