split_id,model_name,train_years,test_years,year,top_k,rank,證券代碼,簡稱,score_label_1,actual_label,predicted_label,actual_return,weight_method,weight,actual_return_decimal,return_contribution,portfolio_gross_return,portfolio_net_return,transaction_cost
1,gradient_boosting,1997,1998,1998,5,1,2356,英業達,0.9934016864033156,-1,1,-13.139,equal,0.2,-0.13139,-0.026278000000000003,0.8046276000000001,0.8008296000000001,0.003798
1,gradient_boosting,1997,1998,1998,5,2,2324,仁寶,0.990664218563026,1,1,39.4893,equal,0.2,0.394893,0.07897860000000001,0.8046276000000001,0.8008296000000001,0.003798
1,gradient_boosting,1997,1998,1998,5,3,2380,虹光,0.9889986649409696,1,1,73.9236,equal,0.2,0.7392359999999999,0.14784719999999998,0.8046276000000001,0.8008296000000001,0.003798
1,gradient_boosting,1997,1998,1998,5,4,2386,國電,0.986255757349114,1,1,240.1467,equal,0.2,2.4014670000000002,0.4802934000000001,0.8046276000000001,0.8008296000000001,0.003798
1,gradient_boosting,1997,1998,1998,5,5,2308,台達電,0.9769778813935052,1,1,61.8932,equal,0.2,0.618932,0.12378640000000002,0.8046276000000001,0.8008296000000001,0.003798
1,gradient_boosting,1997,1998,1998,5,1,2356,英業達,0.9934016864033156,-1,1,-13.139,score,0.20124426126901468,-0.13139,-0.02644148348813584,0.803219355089516,0.7994213550895161,0.003798
1,gradient_boosting,1997,1998,1998,5,2,2324,仁寶,0.990664218563026,1,1,39.4893,score,0.20068970242257125,0.394893,0.07925095865875643,0.803219355089516,0.7994213550895161,0.003798
1,gradient_boosting,1997,1998,1998,5,3,2380,虹光,0.9889986649409696,1,1,73.9236,score,0.20035229298099053,0.7392359999999999,0.1481076276540955,0.803219355089516,0.7994213550895161,0.003798
1,gradient_boosting,1997,1998,1998,5,4,2386,國電,0.986255757349114,1,1,240.1467,score,0.19979663214448573,2.4014670000000002,0.47980501880612175,0.803219355089516,0.7994213550895161,0.003798
1,gradient_boosting,1997,1998,1998,5,5,2308,台達電,0.9769778813935052,1,1,61.8932,score,0.19791711118293787,0.618932,0.1224972334586781,0.803219355089516,0.7994213550895161,0.003798
