證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,淨值報酬率─稅後,資產報酬率 ROA,營業利益率 OPM,利潤邊際 NPM,負債/淨值比,流動比率,速動比率,存貨週轉率 (次),應收帳款週轉次,營業利益成長率,稅後淨利成長率,Return,ReturnMean_year_Label
2002,中鋼,200812,290079,19.87,0.212404896281834,1.0148,0.62979,0.052003,0.094243,0.10277,0.062365,0.81225,139.02,46.26,4.52,35.25,-44.83,-56.67,55.6115,-1
2006,東鋼,200812,18524,18.79,0.135478205681502,0.88674,0.31644,0.052483,0.092598,0.05824,0.033284,0.76435,136.39,67.43,6.14,9.66,-42.66,-60.55,77.5412,-1
2014,中鴻,200812,13102,9.91,0.698199766179566,1.5364,0.25895,-0.10198,-0.45475,-0.07693,-0.07663,3.4591,64.73,6.61,5.29,51.68,-199.6,-240.32,70.5348,-1
2015,豐興,200812,18624,29.31,0.91576570404079,1.3274,0.45141,0.090489,0.15418,0.05745,0.05243,0.70384,104.35,34.31,6.45,34.44,-30.66,-23.68,76.5609,-1
2023,燁輝,200812,13263,8.68,0.104822212658895,0.46121,0.20997,0.015643,0.034602,0.039724,0.017446,1.2119,91.57,46.28,7.7,14.33,-8.01,-40.01,49.1935,-1
2035,唐榮,200812,8627,24.65,0.311475357650453,1.6918,0.41808,-0.094693,-0.40913,-0.10234,-0.11445,3.3206,83.61,36.17,4.03,15.85,-1015.01,-11059.84,56.998,-1
2059,川湖,200812,6908,78.58,0.739479504887487,2.3221,2.4082,0.19053,0.29588,0.35749,0.30691,0.55297,492.64,419.83,4.27,4.69,25.99,24.24,121.4304,1
2101,南港,200812,9344,13.8,0.277611122264388,1.0192,0.93814,-0.03601,-0.067916,0.0051524,-0.062519,0.88605,71.26,25.5,4.22,10.04,-96.21,-129.9,200.7246,1
2103,台橡,200812,15922,21.36,0.84671095888053,1.1628,0.44789,0.12218,0.19989,0.11183,0.089319,0.63594,203.3,154.36,13.03,7.42,-19.53,-24.33,73.1742,-1
2104,中橡,200812,14251,28.63,0.788891319657009,1.0735,0.49713,0.031241,0.063863,0.052779,0.034481,1.0442,194.79,113.3,5.04,5.87,-32.72,-55.61,14.146,-1
2105,正新,200812,42256,19.71,0.28601827249938,1.016,0.40061,0.041779,0.1089,0.088075,0.048116,1.6065,120.46,62.19,5.42,11.72,-14.9,-36.89,191.172,1
2106,建大,200812,7525,11.72,0.575183612467853,0.75273,0.29285,0.025135,0.052523,0.040016,0.020512,1.0897,136.49,82.83,5.86,7.05,-19.42,-10.43,184.5563,1
2201,裕隆,200812,22142,13.93,0.538525574469021,0.37812,0.60697,0.0037415,0.0063134,-0.0074246,0.011201,0.68742,129.49,98.73,3.99,1.93,-132.06,-87.37,168.0546,1
2204,中華,200812,12104,8.57,0.970372902013312,0.31107,0.41103,-0.10232,-0.1365,-0.053491,-0.18943,0.33398,180.39,124.72,5.1,8.28,-787.25,-449.02,157.5263,1
2207,和泰,200812,27582,46.41,0.145732099496291,1.3166,0.31114,0.036394,0.11541,0.043483,0.030871,2.171,108.19,88.8,14.4,2.74,-15.79,-25.52,57.7246,-1
2208,台船,200812,12323,15.95,0.019764663728817,1.0284,0.29802,0.024326,0.08187,0.14498,0.023731,2.3655,159.75,17.95,2.38,84.83,14.15,-54.05,72.2884,-1
2301,光寶科,200812,47857,19.29,0.822182194600976,0.72546,0.18174,0.026022,0.059261,0.026653,0.01916,1.2774,139.62,103.52,8.28,5.62,-40.79,-47.0,134.0591,1
2303,聯電,200812,96499,7.18,0.0735956358081999,0.50421,0.96247,-0.10314,-0.11646,-0.021697,-0.23055,0.12909,528.55,457.46,8.42,8.09,-134.33,-236.31,131.337,1
2308,台達電,200812,138750,57.26,0.691191332858144,2.1446,0.87714,0.087199,0.14122,0.078047,0.071863,0.61951,219.94,190.07,12.17,5.26,-29.17,-28.49,68.2676,-1
2311,日月光,200812,67150,10.34,0.78485459109315,0.78038,0.57572,0.040476,0.085603,0.11909,0.065233,1.1149,183.48,155.96,14.01,6.27,-41.73,-48.5,150.2901,1
2312,金寶,200812,8822,6.05,0.297354293368622,0.44387,0.25723,0.0026425,0.0049389,0.0065101,0.0028984,0.86901,111.0,83.39,13.04,5.54,-71.24,-94.42,57.0248,-1
2315,神達,200812,18041,11.58,0.499648777847273,0.55888,0.26874,0.0087073,0.014756,-0.012473,0.0070949,0.69466,139.23,91.3,6.4,5.0,-116.46,-92.15,42.9188,-1
2317,鴻海,200812,476018,55.35,0.694350560622442,1.1361,0.21038,0.06275,0.13982,0.0362,0.028266,1.2282,132.38,91.38,10.96,7.44,-24.46,-33.06,173.7127,1
2323,中環,200812,15029,5.17,0.0539776591702386,0.31973,0.55235,-0.078403,-0.13629,-0.18696,-0.24309,0.73835,100.34,58.22,4.56,6.28,-826.31,-214.05,59.9613,-1
2324,仁寶,200812,66996,15.1,0.270831502151317,0.74384,0.12096,0.064678,0.14694,0.036481,0.0264,1.2718,158.55,123.38,14.14,6.18,-13.23,-14.84,170.7947,1
2325,矽品,200812,88272,24.96,0.914187821243774,1.3116,1.2468,0.086039,0.10644,0.14337,0.10117,0.23715,258.42,224.39,16.92,6.67,-44.76,-63.9,61.8189,-1
2327,國巨,200812,9086,4.08,0.197278942097314,0.32771,0.39805,0.012527,0.020967,0.061559,0.025501,0.67378,183.64,140.71,5.0,3.93,-50.28,-73.0,186.7647,1
2328,廣宇,200812,10759,22.0,0.927672720239348,0.99413,0.56995,0.035219,0.060137,0.04045,0.037712,0.70753,167.65,148.83,15.08,3.13,-34.27,-32.25,163.6364,1
2330,台積電,200812,1137769,39.76,0.0559525294070209,2.1388,3.0585,0.1788,0.20803,0.31347,0.29996,0.16351,444.7,404.96,9.88,10.94,-6.52,-8.56,54.3008,-1
2331,精英,200812,7689,5.65,0.917880091998639,0.30198,0.074479,0.0078299,0.01431,-0.0026281,0.0036064,0.82766,142.98,97.67,10.44,7.35,-348.99,-62.73,158.5841,1
2332,友訊,200812,12971,19.01,0.516270565774129,0.78651,0.32512,0.049353,0.087624,0.024716,0.036321,0.77546,191.32,96.53,3.22,5.49,-69.71,-65.53,70.384,-1
2337,旺宏,200812,27046,7.37,0.585043615268716,0.62247,0.93885,0.10172,0.12155,0.16735,0.18424,0.19492,475.11,360.79,2.98,8.8,7.2,-5.34,130.3935,1
2342,茂矽,200812,7719,12.85,0.833728948123066,2.0078,2.5907,-0.78292,-1.2654,-0.028904,-1.8616,0.61631,119.39,47.1,5.42,8.0,-131.4,-4152.5,40.4669,-1
2344,華邦電,200812,11517,3.09,0.2671940572742,0.29457,0.43954,-0.097407,-0.19252,-0.2864,-0.28718,0.97651,107.31,70.33,5.4,8.19,-42.33,-26.67,216.1812,1
2347,聯強,200812,40936,26.69,0.699133559301209,1.1559,0.16913,0.052142,0.11843,0.013088,0.01733,1.2713,165.51,105.6,10.68,9.1,-21.29,-13.86,129.3743,1
2349,錸德,200812,10334,4.26,0.299400386560865,0.30234,0.49883,-0.1041,-0.17647,-0.24711,-0.31496,0.69517,122.44,64.42,2.86,4.95,-4050.47,-5970.82,106.5728,1
2350,環電,200812,8510,7.7,0.693843170932226,0.55079,0.12561,0.010963,0.023129,0.014016,0.0052861,1.1098,144.98,113.08,9.42,4.78,-60.31,-81.62,162.3377,1
2352,佳世達,200812,12533,6.5,0.661776196778501,0.55319,0.073838,-0.024379,-0.10389,-0.018297,-0.018582,3.2613,94.54,62.83,7.22,8.38,18.8,-159.13,208.4615,1
2353,宏碁,200812,112585,39.45,0.520190318211477,1.2445,0.18752,0.048234,0.14168,0.025761,0.021495,1.9374,124.83,94.85,13.24,5.18,38.17,-9.44,134.6515,1
2354,鴻準,200812,65457,67.14,0.227810704816134,1.5339,0.35601,0.068876,0.16714,0.051757,0.038792,1.4267,145.83,119.32,17.49,5.04,-21.09,-31.42,84.6887,-1
2356,英業達,200812,23689,7.21,0.654882898449669,0.47843,0.048696,0.041282,0.13556,0.006829,0.014071,2.2839,118.94,90.41,18.42,6.75,-19.27,3.96,140.0832,1
2357,華碩,200812,156254,157.83,0.796179066498458,4.0058,1.0089,0.045931,0.08745,0.031081,0.024775,0.90394,169.16,102.77,5.89,6.07,-27.99,-37.78,74.8844,-1
2362,藍天,200812,15896,23.69,0.246069567106098,2.0127,0.70255,0.032368,0.12691,0.049857,0.044128,2.9206,81.06,36.73,4.75,16.27,27.43,-27.24,114.6475,1
2371,大同,200812,27706,6.09,0.190902853244491,0.69362,0.13781,-0.024115,-0.066579,-0.07768,-0.03661,1.7609,85.49,55.65,6.56,5.26,-211.06,-271.49,28.7356,-1
2373,震旦行,200812,7524,20.54,0.606217932572783,1.3025,0.52251,0.053688,0.10218,0.05109,0.046483,0.90315,122.26,89.42,6.83,7.47,27.15,14.1,72.298,-1
2374,佳能,200812,8712,18.12,0.420755683348492,1.0584,0.22187,0.10925,0.19175,0.044789,0.040192,0.75516,137.71,99.27,19.85,10.0,-42.73,-39.34,223.4547,1
2376,技嘉,200812,7407,10.44,0.519932255056438,0.34823,0.13471,0.041861,0.059913,0.030521,0.02324,0.43125,247.97,152.6,5.31,9.29,9.02,-11.56,178.5441,1
2377,微星,200812,15877,14.24,0.581491252368133,0.55865,0.14088,0.044654,0.088312,0.020946,0.022273,0.97769,167.62,100.28,6.04,6.37,-30.97,-22.08,44.1011,-1
2379,瑞昱,200812,14831,30.58,0.114030034515656,0.94092,0.85276,0.048219,0.057728,-0.058969,0.052429,0.1972,394.55,318.35,5.77,8.73,-134.91,-53.99,209.0255,1
2382,廣達,200812,126273,30.61,0.345307862215166,1.2781,0.13434,0.0666,0.21827,0.022555,0.024696,2.2773,129.66,100.28,12.28,7.09,-6.5,7.7,114.1784,1
2384,勝華,200812,7372,6.42,0.989185809639387,0.28047,0.22518,-0.041638,-0.092531,-0.055042,-0.074535,1.2223,110.53,53.46,4.18,6.28,-278.07,-483.03,343.9252,1
2385,群光,200812,17629,26.57,0.583132968088648,1.5987,0.27392,0.10285,0.33459,0.065001,0.059926,2.2532,108.28,72.89,6.91,5.19,-6.26,7.09,165.6756,1
2388,威盛,200812,10241,18.58,0.591583534156367,4.0835,2.8986,-0.30221,-0.65353,-0.33777,-0.48504,1.1625,143.88,114.57,3.06,13.09,19.83,19.5,-1.507,-1
2391,合勤,200812,8841,16.82,0.111184983788934,0.88526,0.55003,0.016865,0.021323,0.030127,0.013316,0.26433,363.29,257.63,4.26,5.18,-69.39,-87.34,76.2782,-1
2392,正崴,200812,15748,32.16,0.0477872923850662,0.78115,0.2913,0.047861,0.10203,0.046345,0.039244,1.1317,110.51,76.86,7.55,4.69,-18.83,-23.49,120.8022,1
2393,億光,200812,15750,39.83,0.937676879074775,1.4856,1.2828,0.080078,0.13857,0.12385,0.11999,0.73039,143.17,118.81,9.06,3.94,-37.7,-38.4,188.5513,1
2395,研華,200812,24288,42.04,0.925858038017486,1.8097,1.2032,0.16704,0.21976,0.15708,0.14729,0.3156,247.3,160.24,4.17,6.61,-11.86,-12.91,61.2274,-1
2401,凌陽,200812,7866,13.15,0.0422534253324928,0.71235,0.48221,0.00047653,0.00066854,-0.058331,0.00051818,0.40294,217.01,142.2,4.01,5.21,-163.68,-96.15,165.7795,1
2408,南科,200812,28348,16.96,0.123500832319801,2.8126,2.1468,-0.31431,-1.3036,-0.72318,-0.99528,3.1474,56.65,32.55,9.25,6.33,-197.3,-194.83,92.8066,-1
2409,友達,200812,210091,23.76,0.0573401475412575,0.69677,0.47673,0.037513,0.071067,0.078061,0.050167,0.89447,95.94,71.4,12.49,8.5,-47.7,-61.68,63.2997,-1
2412,中華電,200812,621047,54.13,0.528922466328429,1.394,2.6024,0.097091,0.11854,0.29041,0.22319,0.22096,169.02,154.19,21.19,18.09,-2.99,-6.05,11.8788,-1
2441,超豐,200812,9767,17.21,0.795954985556127,0.92378,1.0729,0.1513,0.16619,0.21282,0.19305,0.098364,617.26,551.91,11.02,5.32,-31.33,-33.04,90.2963,-1
2448,晶電,200812,18738,28.96,0.120912384580628,0.8246,1.7648,0.0016246,0.0019208,-0.0071328,0.0041121,0.18231,554.06,435.32,3.21,2.98,-103.69,-98.02,305.9738,1
2449,京元電,200812,9222,7.12,0.917298803800668,0.40478,0.59532,0.009295,0.01746,0.069215,0.026527,0.87845,220.37,206.27,54.06,3.96,-53.78,-87.3,113.4831,1
2450,神腦,200812,7721,27.44,0.130974086365166,1.6122,0.30452,0.16633,0.26135,0.062225,0.049373,0.57123,216.0,147.9,12.73,15.61,26.44,16.98,63.7755,-1
2451,創見,200812,23869,56.1,0.492638598461781,1.5349,0.64327,0.12168,0.15583,0.050408,0.065308,0.28061,362.1,215.58,6.11,12.57,-38.84,-16.79,113.9037,1
2454,聯發科,200812,236630,201.29,0.444542162873471,2.6278,2.3723,0.19369,0.23471,0.23297,0.21227,0.21179,413.33,370.01,5.35,14.45,-33.95,-42.58,161.7616,1
2458,義隆,200812,9465,22.2,0.920790107998705,1.5823,2.0109,0.031461,0.039017,0.016963,0.050007,0.24015,380.82,300.01,4.7,6.95,-87.89,-75.79,150.4505,1
2474,可成,200812,32624,48.91,0.90366452636354,0.99593,1.54,0.097394,0.14707,0.25941,0.22817,0.51006,208.84,142.94,4.31,2.41,-33.56,-39.56,82.5802,-1
2475,華映,200812,31666,3.34,0.908525898848375,0.38747,0.26614,-0.073812,-0.16754,-0.099134,-0.11712,1.2698,71.12,53.72,10.53,5.47,-192.58,-261.03,23.0539,-1
2485,兆赫,200812,11547,32.99,0.558118051358972,1.6662,1.0831,0.17751,0.24721,0.17951,0.16065,0.39267,285.16,231.47,6.83,4.3,-27.9,-21.18,78.6602,-1
2498,宏達電,200812,247013,266.0,0.956434557260469,3.2686,1.3014,0.24741,0.47183,0.19918,0.18795,0.9071,189.56,170.86,13.09,6.23,-1.03,-1.26,25.2444,-1
2501,國建,200812,12009,6.95,0.46741002677446,0.62444,2.8024,0.012532,0.019672,0.057076,0.08851,0.56969,197.54,22.43,0.18,6.49,-60.86,-59.2,82.0144,-1
2504,國產,200812,11890,8.58,0.290185566632867,0.5905,0.50441,0.016184,0.031357,0.029064,0.030821,0.93749,104.62,85.11,11.65,3.5,-34.13,-39.67,67.2494,-1
2515,中工,200812,9805,6.35,0.650812135949142,0.52917,0.65329,0.0010975,0.0020545,-0.00705,0.0025521,0.8721,178.25,63.04,0.98,3.12,40.97,-92.74,36.8504,-1
2526,大陸,200812,7564,8.55,0.404958480117297,0.4667,0.22745,0.0066713,0.017493,0.038628,0.0096533,1.6222,122.25,39.1,2.85,7.55,-13.56,-68.32,54.386,-1
2536,宏普,200812,6914,20.86,0.366833407852287,0.73919,0.85703,0.096904,0.19401,0.2386,0.22499,1.0021,196.61,0.95,0.34,57.69,34.14,28.63,127.7565,1
2542,興富發,200812,8222,11.42,0.1552216209395,0.78059,0.5022,0.057691,0.22821,0.16518,0.14687,2.9558,137.92,7.9,0.44,18.38,2.07,-15.54,275.7443,1
