證券代碼,year,市值(百萬元),股價營收比,淨值報酬率─稅後,資產報酬率 ROA,營業利益率 OPM,利潤邊際 NPM,負債/淨值比,稅後淨利成長率
1102,2024,0.0458601,2.198498791978843e-09,1008824273.0720606,518687000.0,9.153117676380724,2.4865465686187562,0.3110704483074108,-159.54978909638652
1102,2025,,,1545027203.4820457,851928000.0,3.8898205954616767,4.7621640252496515,0.48534963149379823,64.24703144671065
1216,2015,307397033.14,3.2182803389608483,-0.48257537458953925,-0.11653008165673237,-0.02313436142294508,-0.4867198693813664,6.328874388566065e-08,
1216,2016,309669839.3,3.2798394107517126,1.3881737186557366,0.3398852187153789,1.6021039364670617,1.3985953400201336,6.381389351447037e-08,-384.0426332827843
1216,2017,365353590.22,3.8529729079134816,13.894819977260045,6.740794209134143,49.46456436075684,13.438341412439481,0.0,864.9941688754259
1216,2018,416491728.82,4.116061205790524,1.698686456782678,0.81714682461908,1.2669171745664227,1.6439934227889954,2.5104717465068924e-09,-86.9454610575364
1216,2019,412514318.03999996,3.9428288257674997,1.6684768362217786,0.4050848170364747,1.4502645226119741,1.7125151882052856,2.545741627295604e-09,7.706249507816909
1216,2020,0.07581670000000001,7.118403248807146e-10,4.069183516334049,0.9239944029429549,1.712742463560137,2.0710460147060292,14.199134199134198,23.113733820542603
1216,2021,0.0741455,6.403820145530053e-10,10719335954.565311,2453656000.0,1.4893123601065796,2.1191807625547994,16.49029982363316,11.235045311742065
1216,2022,0.0687996,5.360962439858009e-10,11333561946.902655,2561385000.0,0.6755038958021075,1.99586753106351,8.658969804618117,4.390550264584769
1216,2023,0.0653097,4.4351554979383357e-10,7383520470.703605,0.4661405182130458,1.3376126430939277,1.0226295901718894,12.260536398467435,-41.20879914577464
1216,2024,0.06848,4.3386104512842914e-10,11363897078.531227,0.6562241466408918,1.0845113292155477,1.3431034093229213,20.745798319327736,40.778181900284814
1216,2025,,,17500016021.361816,3276878000.0,1.0252484397218127,2.077919847811213,23.24823465507876,54.574456292291984
1301,2015,481250004.47999996,10.49717028966453,1.6562212639283362,1.1240959142840379,11.49847698875242,10.38387273446801,1.1178183147861543e-08,
1301,2016,579918986.88,11.49558780086694,3.0241216193977754,2.0515042963781824,15.684998935419332,17.18456205196997,1.126283659940321e-08,82.1028543292614
1301,2017,590740746.24,11.131787375479139,2.8627334423587967,4.011456505826656,17.285367250625917,15.936312930327109,1.1149634665659693e-08,-2.445959863017111
1301,2018,649305561.6,11.522224786440951,2.423195463980412,3.191434215200645,-2.8680245242943934,14.201216497306673,8.184088533883565e-09,-5.372263132770938
1301,2019,624479172.48,12.862145262354497,1.5877294565350606,1.1204740900248005,2.1914592836602758,11.522835693208924,8.523476162277364e-09,-30.092207249698323
1301,2020,0.11633279999999999,2.1292622725825358e-09,6.903044197091028,4.848680713095148,7.566278488172684,22.057374266044047,44.133756125684634,115.40853983548942
1301,2021,0.12178400000000003,1.6367264734042637e-09,28673012400.724537,20578621000.0,6.307452799806342,27.656813519717627,34.8435814455232,70.76129290727222
1301,2022,0.1104726,2.1633263346892366e-09,1798898105.9034982,1301143000.0,-9.867453704398157,2.5479593284638518,10.056737588652483,-93.67720995493333
1301,2023,0.0988575,2.070624404557374e-09,2590794721.4076247,1766922000.0,-3.4186777097175507,3.7009147653433723,0.4552352048558421,35.79767942493639
1301,2024,0.0527772,1.0486073783039293e-09,3362140899.564727,2085536000.0,1.0050256747594124,4.143661348685537,0.0,18.032148561170214
1301,2025,,,1588099910.793934,979143000.0,-1.2594544905386063,2.382102826856026,0.06139677666922487,-53.050774477160786
1303,2015,483780117.6,7.22845048568652,-0.04624098608064046,-0.029189102168351324,6.605295725477807,-0.22405232621111443,1.0552487087064636e-08,
1303,2016,543261279.6,7.474659395821207,-0.05200542148956635,-0.032499725563200355,33.728395793496254,-0.2280284455207914,1.1380456895543722e-08,10.523367477592839
1303,2017,594811620.0,7.298597880598768,-0.027960861762896163,-0.03496994035131353,14.89817433950728,-0.10859826625856997,1.1900902423116552e-08,-46.59812226968841
1303,2018,590053127.04,7.594024764433326,0.033187189867187016,0.0404850969823325,2.5188206105102804,0.14856307346938386,8.557992914232085e-09,-230.426873361656
1303,2019,567846826.56,7.92574845681877,0.015062116143929825,0.009643639217973326,2.3626594876491764,0.0757085234409316,1.0418725864470125e-08,-53.00997115209689
1303,2020,0.089496,1.1274161671296964e-09,0.22431719933010769,0.13934806386539547,3.8914212165674043,0.4868476176165554,66.2029182219206,612.4866339736735
1303,2021,0.09903099999999998,9.165845407930052e-10,1927299354.6251864,1164667000.0,3.773348767364048,1.0779612115113117,57.94573643410853,201.36260017026032
1303,2022,0.09032640000000002,1.1921016455960827e-09,2945001689.760054,1742852000.0,-3.66511760743464,2.3001655520760522,72.6789510985117,49.64380376536812
1303,2023,0.08178809999999999,1.2983895499803323e-09,200061970.29071358,109764000.0,-1.3822827987026534,0.17425081468336007,83.03621692625258,-93.70204698964686
1303,2024,0.050140199999999996,7.357444829178611e-10,184660939.49917752,101028000.0,1.4783650824985062,0.1482459057208102,73.54355959380011,-7.958893626325569
1303,2025,,,957065920.6154922,547346000.0,7.0030407814098865,0.8490374085343008,171.6738197424893,441.77653719760855
1304,2015,14568180.6,1.1357648284936848,0.3949425456951327,0.11694116189415915,-0.5866330369684998,0.5242088452904468,2.7019076877966815e-07,
1304,2016,18510158.88,1.2880506720769433,1.7829522676773315,0.5190714709617101,-0.21588406836254603,2.1359677164804216,2.776471629061552e-07,356.51035857166227
1304,2017,18006270.48,1.179388203688274,2.1917243781511058,1.26214609518025,0.3322620576157132,2.511975300159483,2.763555406983421e-07,24.942580785983527
1304,2018,14621791.05,0.9591814035277153,0.3770095452605015,0.19550655232132247,0.6338218546000071,0.4424092288975272,2.5930391634138664e-07,-82.41502939911085
1304,2019,16226621.775,1.1868817923905404,0.7320121532873974,0.1920866690447293,-0.3575210905552596,0.9864287688654201,2.419678594869327e-07,99.9688616716834
1304,2020,0.0310474,1.9935315559773394e-09,19.1974030325883,5.015191565389016,0.9020378102833749,11.500333567269186,136.24309392265195,1228.0859551686551
1304,2021,0.044761949999999995,2.313178055015168e-09,5345481896.099353,1528006000.0,-2.9878695219769473,7.8963270079420305,114.59027315123251,-14.687533150574794
1304,2022,0.0329745,2.1766676959925074e-09,-2563825826.8239985,-771327000.0,-11.216744997086952,-5.091578534767208,119.27031509121062,-150.479317489591
1304,2023,0.031046400000000002,2.4198788860220243e-09,-3633598559.2665358,-1109701000.0,-10.465104768743045,-8.649447342357009,116.52117685095378,43.86907239082775
1304,2024,0.02118400000000001,1.6785537813892892e-09,-2250596092.836868,-673941000.0,-9.49741006377934,-5.340097309211096,139.70994475138124,-39.268235317441366
1304,2025,,,-3060293079.0960455,-866675000.0,-15.880144929766887,-8.718591617617516,361.27167630057806,28.598052351763737
1305,2015,6790399.3,1.9224756462988715,38376003.05693542,0.16232833431134958,-0.27051803566817817,0.5686682642000027,86.28200229270155,
1305,2016,12968726.925,3.701338299283577,1.389008561911132,0.39079129340239827,0.4792519194907007,1.3571288723024242,5.839263394011234e-07,136.7370307676989
1305,2017,13923588.68,3.6897245079780325,0.31981251975814246,0.37465102911034986,0.39519166252386306,0.5938077364604522,5.84807888306298e-07,-52.87585960337322
1305,2018,11706146.76,3.0061446613866765,-0.19772674073181576,-0.10715288942530365,0.17393099718469582,-0.18194317363850138,52.692246960366326,-131.6181720813995
1305,2019,10883167.435,2.932922044708115,0.8011332641277282,0.258654477062474,-0.01961898740692771,0.8906696892842869,3.5572256403369756e-07,-566.4784756527876
1305,2020,0.09220645,2.007730965450717e-08,2.41304732570234,1.6145668351691445,-0.2990264710173171,2.1675880824897606,36.99885452462772,201.20423600605145
