stock_id,year,total_assets_million,total_equity_million,total_liabilities_million,share_capital_million
1101,2015,293066355.0,108042985.0,0.046950000000000006,36921759.0
1101,2016,265077946.0,105176028.0,0.04513,36921759.0
1101,2017,0.1,106172209.0,0.0,36921759.0
1101,2018,344085118.0,181541510.0,0.00149,0.01485
1101,2019,367482385.0,193684068.0,0.0013700000000000001,0.01542
1101,2020,0.1,0.05239,0.00134,0.01543
1101,2021,0.1,0.04629,0.00033,0.013869999999999999
1101,2022,0.1,0.04391,0.00055,0.01512
1101,2023,0.1,0.04696,0.00087,0.016120000000000002
1101,2024,0.1,0.04181,0.00031,0.01306
1101,2025,0.1,0.039380000000000005,0.0003,0.01316
1102,2015,270077209.0,135898873.0,0.04266,33614472.0
1102,2016,238527239.0,121561630.0,0.04159,33614472.0
1102,2017,0.1,120387180.0,0.0,33614472.0
1102,2018,279187998.0,137892226.0,0.00026000000000000003,33614472.0
1102,2019,297278512.0,146067358.0,0.00033,33614472.0
1102,2020,0.1,0.04974,0.00047,0.01131
1102,2021,0.1,0.0495,0.00033,0.011179999999999999
1102,2022,0.1,0.04935,0.00043,0.01083
1102,2023,0.1,0.04818,0.00025,0.01058
1102,2024,0.1,0.05465,0.00017,0.01069
1102,2025,0.1,0.055630000000000006,0.00027,0.01094
1216,2015,398948489.0,96336246.0,0.060969999999999996,56820154.0
1216,2016,378078535.0,93913718.0,0.05993,56820154.0
1216,2017,0.1,89503527.0,0.0,56820154.0
1216,2018,407150086.0,106354513.0,0.00267,56820154.0
1216,2019,477455273.0,108416344.0,0.00276,56820154.0
1216,2020,0.1,0.023100000000000002,0.00328,0.011470000000000001
1216,2021,0.1,0.02268,0.0037400000000000003,0.01105
1216,2022,0.1,0.02252,0.00195,0.01044
1216,2023,646100882.0,0.018269999999999998,0.0022400000000000002,0.00879
1216,2024,0.1,0.019039999999999998,0.00395,0.008
1216,2025,0.1,0.01841,0.00428,0.00771
1301,2015,423501050.0,287434904.0,0.032130000000000006,63657408.0
1301,2016,421645803.0,285896006.0,0.0322,63657408.0
1301,2017,0.1,304942727.0,0.034,63657408.0
1301,2018,501513267.0,355568001.0,0.0291,63657408.0
1301,2019,497087959.0,349153320.0,0.02976,63657408.0
1301,2020,0.1,0.06938,0.03062,0.01328
1301,2021,0.1,0.07415999999999999,0.02584,0.011710000000000002
1301,2022,0.1,0.0705,0.00709,0.01218
1301,2023,0.1,0.0659,0.0003,0.01225
1301,2024,0.1,0.058159999999999996,0.0,0.01281
1301,2025,0.1,0.06515,4e-05,0.01142
1303,2015,513725976.0,324283742.0,0.03422,79308216.0
1303,2016,506171867.0,313080576.0,0.03563,79308216.0
1303,2017,0.1,319975735.0,0.038079999999999996,79308216.0
1303,2018,570249344.0,375672197.0,0.03215,79308216.0
1303,2019,554678679.0,344571884.0,0.0359,79308216.0
1303,2020,0.1,0.05894,0.039020000000000006,0.013560000000000001
1303,2021,0.1,0.06192,0.03588,0.011859999999999999
1303,2022,0.1,0.05644,0.04102,0.011640000000000001
1303,2023,0.1,0.05329,0.04425,0.01201
1303,2024,0.1,0.05613,0.041280000000000004,0.01284
1303,2025,0.1,0.05825,0.1,0.01299
1304,2015,57498146.0,17025008.0,0.046,11426024.0
1304,2016,60771887.0,17406985.0,0.04833,11426024.0
1304,2017,0.1,17589660.0,0.04861,11654544.0
1304,2018,68991038.0,18187153.0,0.047159999999999994,11887635.0
1304,2019,71425786.0,18659503.0,0.045149999999999996,11887635.0
1304,2020,0.1,0.027149999999999997,0.03699,0.01537
1304,2021,0.1,0.030019999999999998,0.0344,0.01401
1304,2022,0.1,0.03015,0.03596,0.01482
1304,2023,0.1,0.03093,0.03604,0.01568
1304,2024,0.1,0.02896,0.04046,0.016550000000000002
1304,2025,0.1,0.02768,0.1,0.018789999999999998
1305,2015,12373687.0,0.052340000000000005,0.04516,4683034.0
1305,2016,11962065.0,6846754.0,0.039979999999999995,4776695.0
1305,2017,0.1,7166456.0,0.041909999999999996,4919996.0
1305,2018,13224095.0,0.06333,0.03337,5067596.0
1305,2019,12331233.0,8250812.0,0.02935,5270299.0
1305,2020,0.1,0.06984,0.02584,0.03983
1305,2021,0.1,0.06576,0.03028,0.03423
1305,2022,0.1,0.05701,0.039490000000000004,0.03528
1305,2023,0.1,0.05336,0.04307,0.032659999999999995
1305,2024,0.1,0.048350000000000004,0.04846,0.03215
1305,2025,0.1,0.04433,0.1,0.03334
1308,2015,10092209.0,0.08616,10092209.0,0.04887
1308,2016,14236097.0,0.06366,14236097.0,0.03533
1308,2017,0.1,9451767.0,0.03619,5181147.0
1308,2018,15597743.0,9604436.0,0.03842,5543827.0
1308,2019,16923091.0,10229820.0,0.039549999999999995,5543827.0
1308,2020,0.1,0.07171999999999999,0.02828,0.03448
1308,2021,0.1,0.08147,0.01853,0.03128
1308,2022,0.1,0.0859,0.0141,0.03678
1308,2023,0.1,0.08597,0.014029999999999999,0.037509999999999995
1308,2024,0.1,0.08445,0.015550000000000001,0.04366
1308,2025,0.1,0.08744,0.1,0.05072
1326,2015,512985430.0,282830518.0,0.03507,58611863.0
1326,2016,509451225.0,293242108.0,0.03191,58611863.0
1326,2017,0.1,310156414.0,0.03499,58611863.0
1326,2018,591500932.0,369808874.0,0.02674,58611863.0
1326,2019,550549017.0,356514671.0,0.02566,58611863.0
1326,2020,0.1,0.06475,0.02564,0.01102
1326,2021,0.1,0.06534000000000001,0.0258,0.009800000000000001
1326,2022,580579206.0,0.05873,580579206.0,0.0101
1326,2023,0.1,0.05871,0.03311,0.01047
1326,2024,0.1,0.05551,0.03778,0.01194
1326,2025,0.1,0.06418,0.1,0.01088
1402,2015,518765122.0,197251565.0,0.0498,53528751.0
1402,2016,517186871.0,189883207.0,0.051590000000000004,53528751.0
1402,2017,0.1,188270069.0,0.0,53528751.0
1402,2018,565589420.0,203535137.0,0.00082,53528751.0
1402,2019,0.1,0.0355,0.03294,0.00929
1402,2020,0.1,0.03307,0.0030499999999999998,0.00868
1402,2021,0.1,0.03243,0.00076,0.00843
1402,2022,661179208.0,0.03191,0.00093,0.0081
1402,2023,0.1,0.03382,0.001,0.00853
1402,2024,0.1,0.03427,0.00101,0.00785
1402,2025,0.1,0.03419,0.00116,0.007980000000000001
1503,2015,34628912.0,21432537.0,0.03673,5209722.0
1503,2016,36242731.0,21336943.0,0.03983,5209722.0
1503,2017,0.1,21277190.0,0.0,5209722.0
1503,2018,40013351.0,23134844.0,0.00452,5209722.0
1503,2019,0.1,0.0593,0.00423,0.01278
1503,2020,42057817.0,0.05985,42057817.0,0.01239
1503,2021,0.1,0.05852,0.0067,0.011529999999999999
1503,2022,0.1,0.05713,0.00782,0.01088
1503,2023,0.1,0.06014,0.00901,0.00973
1503,2024,0.1,0.06428,0.00905,0.008919999999999999
1503,2025,0.1,0.05995,0.01577,0.00861
1504,2015,84434252.0,47464042.0,0.03909000000000001,20026929.0
1504,2016,92129161.0,49777522.0,0.03964,20026929.0
1504,2017,0.1,50688074.0,0.039310000000000005,20026929.0
1504,2018,91981286.0,53678660.0,0.00098,20026929.0
1504,2019,0.1,0.05722,0.00101,0.01986
1504,2020,0.1,0.05851,0.00141,0.01862
1504,2021,0.1,0.0653,0.00109,0.01566
1504,2022,0.1,0.061329999999999996,0.0016899999999999999,0.01746
1504,2023,0.1,0.062310000000000004,0.00156,0.01626
1504,2024,124433435.0,0.06066,124433435.0,0.01719
1504,2025,0.1,0.06338,0.00115,0.01644
