stock_id,year,revenue_million,operating_income_million,net_income_million
1503,2023,7457724.0,-45935.0,23085.0
1503,2024,8919415.0,-8154.0,32289.0
1503,2025,9684111.0,-35072.0,27599.0
1504,2015,12475214.0,-137052.0,90728.0
1504,2016,13427629.0,154282.0,120376.0
1504,2017,13275213.0,87408.0,111893.0
1504,2018,12995090.0,110423.0,94681.0
1504,2019,12059768.0,164411.0,39397.0
1504,2020,12474622.0,143521.0,116231.0
1504,2021,13838074.0,-370046.0,91653.0
1504,2022,15058189.0,183988.0,66463.0
1504,2023,14364314.0,191481.0,78492.0
1504,2024,13521877.0,276359.0,96652.0
1504,2025,15334616.0,374542.0,61545.0
1513,2015,3241116.0,-26344.0,-3097.0
1513,2016,3874634.0,42273.0,-5689.0
1513,2017,3417934.0,15406.0,9341.0
1513,2018,3258430.0,-41942.0,4274.0
1513,2019,3525913.0,15628.0,1389.0
1513,2020,5463758.0,39771.0,10030.0
1513,2021,5161198.0,-84848.0,8966.0
1513,2022,4799063.0,82016.0,1533.0
1513,2023,5846654.0,-5014.0,-5913.0
1513,2024,6950600.0,-118468.0,-26.0
1513,2025,7106089.0,33069.0,9903.0
1519,2015,2071932.0,-15800.0,-322.0
1519,2016,1359387.0,-34916.0,-1015.0
1519,2017,2101059.0,-36115.0,-648.0
1519,2018,1808811.0,37620.0,-3786.0
1519,2019,3058142.0,-4415.0,0.0
1519,2020,2605736.0,72474.0,0.0
1519,2021,3062533.0,24622.0,-2301.0
1519,2022,2665489.0,457284.0,-2492.0
1519,2023,5612009.0,48208.0,-5193.0
1519,2024,7162559.0,196313.0,-3602.0
1519,2025,8096609.0,422931.0,-21116.0
1590,2015,2164262.0,-107226.0,3260.0
1590,2016,2652632.0,-219103.0,1817.0
1590,2017,3450275.0,46967.0,-228.0
1590,2018,3581811.0,110195.0,-118.0
1590,2019,4092986.0,19607.0,-118.0
1590,2020,5390011.0,318846.0,-117.0
1590,2021,5767542.0,263571.0,-110.0
1590,2022,6264353.0,-77850.0,-94.0
1590,2023,7355790.0,22486.0,-77.0
1590,2024,7645814.0,109685.0,-77.0
1590,2025,9035139.0,133792.0,-92.0
1605,2015,37437959.0,-90642.0,141626.0
1605,2016,38976751.0,481979.0,120643.0
1605,2017,44169892.0,397058.0,89937.0
1605,2018,43430378.0,1040845.0,121185.0
1605,2019,30689211.0,-292640.0,302189.0
1605,2020,31188685.0,544156.0,139011.0
1605,2021,46428420.0,976706.0,429666.0
1605,2022,43735280.0,-947988.0,-162553.0
1605,2023,43333235.0,242997.0,-241386.0
1605,2024,46652337.0,-750763.0,-52283.0
1605,2025,41860205.0,1066438.0,-35514.0
1717,2015,9551810.0,99858.0,-6498.0
1717,2016,10386410.0,77587.0,-21346.0
1717,2017,11140715.0,310062.0,346.0
1717,2018,10446333.0,-38088.0,-11385.0
1717,2019,10171622.0,53853.0,-21728.0
1717,2020,11896155.0,-82333.0,-14813.0
1717,2021,13047729.0,11911.0,-57357.0
1717,2022,11770995.0,-16024.0,3928.0
1717,2023,10758850.0,127424.0,-3120.0
1717,2024,11267472.0,247471.0,-24395.0
1717,2025,10122998.0,169132.0,33047.0
1722,2015,5214639.0,-134590.0,1616952.0
1722,2016,3013041.0,-612337.0,576949.0
1722,2017,2796502.0,243.0,607737.0
1722,2018,3137021.0,747683.0,691930.0
1722,2019,3349140.0,84906.0,1063730.0
1722,2020,2151029.0,266567.0,609052.0
1722,2021,5029918.0,1127607.0,288151.0
1722,2022,3508997.0,410986.0,613106.0
1722,2023,2631994.0,31628.0,301349.0
1722,2024,2702624.0,142808.0,413255.0
1722,2025,2724438.0,-266557.0,416940.0
1802,2015,10953221.0,-698557.0,-220531.0
1802,2016,11448542.0,-941938.0,-92653.0
1802,2017,12579247.0,114161.0,46322.0
1802,2018,11196323.0,-66056.0,-26518.0
1802,2019,11414945.0,154836.0,-59398.0
1802,2020,13357003.0,653682.0,149851.0
1802,2021,13872128.0,1732590.0,286629.0
1802,2022,11387424.0,334376.0,-85851.0
1802,2023,12024543.0,158819.0,-83649.0
1802,2024,11560095.0,55984.0,862.0
1802,2025,10791851.0,-75082.0,103633.0
2002,2015,62993821.0,655824.0,-310958.0
2002,2016,82171323.0,-1784128.0,586506.0
2002,2017,90245238.0,114145.0,1013895.0
2002,2018,104219368.0,-219752.0,629735.0
2002,2019,84435087.0,-225133.0,-481448.0
2002,2020,87605969.0,392593.0,753627.0
2002,2021,129479580.0,825756.0,1148560.0
2002,2022,95377204.0,-211333.0,-1224225.0
2002,2023,88394248.0,84404.0,-431590.0
2002,2024,86593847.0,-5980.0,958793.0
2002,2025,75372686.0,-360448.0,1784668.0
2049,2015,3162016.0,-96148.0,-59665.0
2049,2016,4562841.0,4553.0,-122756.0
2049,2017,6148232.0,-511245.0,-259739.0
2049,2018,6648126.0,-302041.0,-284973.0
2049,2019,4014184.0,-123112.0,-56757.0
2049,2020,6150879.0,173388.0,-59194.0
2049,2021,6695123.0,-529765.0,-211230.0
2049,2022,5592106.0,80269.0,-45532.0
2049,2023,5757780.0,107050.0,-29763.0
2049,2024,6375815.0,-33533.0,-23946.0
2049,2025,6503036.0,207154.0,-32044.0
2059,2015,1127921.0,33864.0,651114.0
2059,2016,1249488.0,231317.0,718665.0
2059,2017,1113123.0,-74371.0,581110.0
2059,2018,1180606.0,115778.0,613488.0
2059,2019,1373352.0,-224984.0,765399.0
2059,2020,1263927.0,-182472.0,617710.0
2059,2021,1816978.0,-22216.0,977712.0
2059,2022,1988088.0,-269980.0,1172923.0
2059,2023,1864791.0,-433809.0,1246186.0
2059,2024,3098146.0,749602.0,2224699.0
2059,2025,4949108.0,969636.0,3766315.0
