model_name,scope,split_id,test_years,n_samples,actual_label_neg1_count,actual_label_pos1_count,pred_label_neg1_count,pred_label_pos1_count,accuracy,precision_label_1,recall_label_1,f1_label_1
external_random_forest,split,1,2016,112,86,26,69,43,0.7053571428571429,0.4186046511627907,0.6923076923076923,0.5217391304347826
external_random_forest,split,2,2017,113,60,53,74,39,0.4690265486725664,0.41025641025641024,0.3018867924528302,0.34782608695652173
external_random_forest,split,3,2018,114,73,41,70,44,0.5701754385964912,0.4090909090909091,0.43902439024390244,0.4235294117647059
external_random_forest,split,4,2019,115,76,39,77,38,0.6260869565217392,0.4473684210526316,0.4358974358974359,0.44155844155844154
external_random_forest,split,5,2020,117,79,38,49,68,0.5213675213675214,0.36764705882352944,0.6578947368421053,0.4716981132075472
external_random_forest,split,6,2021,118,57,61,86,32,0.3813559322033898,0.3125,0.16393442622950818,0.21505376344086022
external_random_forest,split,7,2022,118,84,34,38,80,0.4406779661016949,0.3,0.7058823529411765,0.42105263157894735
external_random_forest,split,8,2023,118,73,45,81,37,0.5932203389830508,0.4594594594594595,0.37777777777777777,0.4146341463414634
external_random_forest,split,9,2024,119,80,39,80,39,0.5630252100840336,0.3333333333333333,0.3333333333333333,0.3333333333333333
external_random_forest,overall,overall,2016-2024,1044,668,376,624,420,0.5402298850574713,0.3761904761904762,0.42021276595744683,0.3969849246231156
